,CPI YOY % Change_BOL_NSO
2018-01-01,2.93
2018-02-01,2.87
2018-03-01,2.73
2018-04-01,3.01
2018-05-01,3.15
2018-06-01,3.17
2018-07-01,2.44
2018-08-01,1.82
2018-09-01,0.92
2018-10-01,1.31
2018-11-01,1.5
2018-12-01,1.51
2019-01-01,1.43
2019-02-01,0.95
2019-03-01,1.06
2019-04-01,1.35
2019-05-01,1.69
2019-06-01,1.73
2019-07-01,1.92
2019-08-01,2.25
2019-09-01,2.26
2019-10-01,2.54
2019-11-01,3.41
2019-12-01,1.47
2020-01-01,1.21
2020-02-01,1.3
2020-03-01,1.44
2020-04-01,1.72
2020-05-01,1.23
2020-06-01,1.44
2020-07-01,1.35
2020-08-01,1.39
2020-09-01,0.46
2020-10-01,0.28
2020-11-01,-1.1
2020-12-01,0.67
2021-01-01,1.17
2021-02-01,1.4
2021-03-01,1.16
2021-04-01,0.68
2021-05-01,0.54
2021-06-01,0.19
2021-07-01,0.2
2021-08-01,0.18
2021-09-01,0.99
2021-10-01,0.49
2021-11-01,0.96
2021-12-01,0.9
2022-01-01,0.74
2022-02-01,0.7
2022-03-01,0.77
2022-04-01,0.87
2022-05-01,1.41
2022-06-01,1.79
2022-07-01,2.04
2022-08-01,1.55
2022-09-01,1.89
2022-10-01,2.89
2022-11-01,3.17
2022-12-01,3.12
2023-01-01,3.14
2023-02-01,2.57
2023-03-01,2.53
2023-04-01,2.7
2023-05-01,2.9
2023-06-01,2.73
