Date;29039 - Commodity Index - Brazil - Energy (in US Dollars) - Index;29040 - Commodity Index - Brazil - Metal (in US Dollars) - Index;29041 - Commodity Index - Brazil - Agriculture (in US Dollars) - Index
01/1998;38.02 ;62.61 ;95.69
02/1998;36.99 ;62.14 ;94.60
03/1998;36.50 ;61.90 ;91.60
04/1998;39.19 ;61.95 ;89.94
05/1998;38.50 ;60.10 ;90.24
06/1998;36.58 ;58.56 ;85.81
07/1998;35.48 ;58.59 ;83.73
08/1998;34.40 ;58.25 ;82.16
09/1998;35.86 ;57.68 ;79.48
10/1998;36.06 ;56.04 ;80.62
11/1998;33.82 ;55.42 ;81.04
12/1998;31.77 ;53.95 ;78.35
01/1999;31.90 ;53.15 ;78.94
02/1999;30.89 ;53.25 ;74.83
03/1999;34.15 ;53.15 ;71.94
04/1999;36.09 ;54.79 ;69.82
05/1999;34.41 ;56.23 ;70.00
06/1999;34.88 ;55.04 ;70.22
07/1999;35.61 ;57.32 ;66.37
08/1999;37.54 ;58.48 ;68.82
09/1999;38.71 ;60.20 ;70.13
10/1999;38.89 ;59.97 ;71.18
11/1999;38.40 ;60.26 ;72.45
12/1999;37.94 ;62.28 ;72.05
01/2000;37.84 ;65.31 ;72.55
02/2000;39.32 ;64.43 ;71.63
03/2000;40.30 ;62.37 ;72.33
04/2000;39.42 ;59.82 ;73.35
05/2000;42.65 ;60.03 ;74.74
06/2000;45.64 ;60.44 ;75.63
07/2000;45.12 ;61.57 ;76.09
08/2000;46.99 ;60.98 ;75.60
09/2000;50.41 ;62.97 ;75.45
10/2000;51.04 ;60.17 ;76.98
11/2000;53.20 ;58.85 ;76.48
12/2000;57.53 ;60.61 ;77.31
01/2001;55.11 ;61.31 ;78.02
02/2001;51.77 ;61.54 ;77.00
03/2001;51.15 ;59.03 ;73.40
04/2001;51.91 ;58.21 ;71.73
05/2001;49.83 ;58.94 ;71.99
06/2001;48.48 ;57.00 ;72.20
07/2001;45.70 ;55.34 ;71.87
08/2001;48.62 ;54.19 ;69.12
09/2001;41.30 ;52.98 ;66.20
10/2001;39.11 ;51.78 ;62.35
11/2001;36.04 ;52.99 ;64.66
12/2001;34.11 ;53.20 ;65.27
01/2002;32.85 ;54.04 ;66.86
02/2002;31.27 ;53.51 ;65.12
03/2002;35.00 ;54.75 ;63.59
04/2002;37.38 ;54.48 ;60.55
05/2002;38.01 ;54.30 ;60.88
06/2002;37.24 ;55.23 ;61.52
07/2002;37.68 ;55.23 ;65.92
08/2002;39.30 ;53.09 ;66.29
09/2002;41.42 ;53.51 ;69.01
10/2002;41.39 ;53.84 ;70.32
11/2002;39.30 ;55.60 ;73.88
12/2002;44.20 ;55.79 ;74.61
01/2003;46.96 ;56.61 ;75.63
02/2003;50.17 ;59.42 ;77.18
03/2003;48.59 ;58.68 ;72.84
04/2003;45.29 ;57.52 ;74.89
05/2003;48.80 ;59.28 ;74.75
06/2003;49.72 ;59.00 ;72.99
07/2003;47.32 ;59.74 ;74.84
08/2003;48.88 ;60.57 ;75.89
09/2003;49.02 ;60.99 ;78.06
10/2003;50.77 ;64.37 ;81.02
11/2003;50.13 ;66.03 ;82.58
12/2003;56.76 ;69.75 ;82.75
01/2004;59.16 ;72.74 ;79.76
02/2004;58.37 ;78.92 ;79.46
03/2004;64.14 ;82.09 ;83.56
04/2004;63.64 ;83.51 ;85.39
05/2004;69.33 ;79.03 ;87.05
06/2004;68.64 ;79.84 ;86.39
07/2004;73.34 ;80.51 ;83.33
08/2004;75.28 ;82.80 ;81.66
09/2004;77.47 ;85.09 ;83.33
10/2004;85.19 ;87.42 ;82.87
11/2004;82.42 ;90.63 ;83.48
12/2004;77.48 ;91.22 ;85.88
01/2005;76.68 ;94.26 ;86.06
02/2005;75.95 ;95.89 ;86.89
03/2005;82.56 ;99.28 ;89.89
04/2005;83.15 ;94.62 ;88.32
05/2005;79.21 ;89.73 ;88.24
06/2005;80.53 ;85.74 ;86.58
07/2005;83.38 ;81.90 ;86.73
08/2005;92.69 ;87.47 ;86.25
09/2005;100.36 ;87.81 ;88.70
10/2005;101.00 ;89.97 ;93.69
11/2005;96.11 ;92.71 ;95.12
12/2005;100.00 ;100.00 ;100.00
01/2006;89.34 ;105.22 ;105.39
02/2006;83.88 ;108.02 ;107.54
03/2006;81.76 ;109.23 ;102.28
04/2006;85.33 ;119.19 ;102.89
05/2006;82.14 ;127.73 ;104.62
