Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
12/1970;-;-;1,187 ;-;-;-;-
01/1971;-;-;1,229 ;-;-;-;-
02/1971;-;-;1,280 ;-;-;-;-
03/1971;-;-;1,316 ;-;-;-;-
04/1971;-;-;1,379 ;-;-;-;-
05/1971;-;-;1,366 ;-;-;-;-
06/1971;-;-;1,436 ;-;-;-;-
07/1971;-;-;1,458 ;-;-;-;-
08/1971;-;-;1,454 ;-;-;-;-
09/1971;-;-;1,582 ;-;-;-;-
10/1971;-;-;1,576 ;-;-;-;-
11/1971;-;-;1,642 ;-;-;-;-
12/1971;-;-;1,723 ;-;-;-;-
01/1972;-;-;1,796 ;-;-;-;-
02/1972;-;-;1,918 ;-;-;-;-
03/1972;-;-;2,049 ;-;-;-;-
04/1972;-;-;2,213 ;-;-;-;-
05/1972;-;-;2,439 ;-;-;-;-
06/1972;-;-;2,486 ;-;-;-;-
07/1972;-;-;2,689 ;-;-;-;-
08/1972;-;-;3,011 ;-;-;-;-
09/1972;-;-;3,348 ;-;-;-;-
10/1972;-;-;3,581 ;-;-;-;-
11/1972;-;-;3,917 ;-;-;-;-
12/1972;-;-;4,183 ;-;-;-;-
01/1973;-;-;4,304 ;-;-;-;-
02/1973;-;-;4,456 ;-;-;-;-
03/1973;-;-;4,920 ;-;-;-;-
04/1973;-;-;5,143 ;-;-;-;-
05/1973;-;-;5,544 ;-;-;-;-
06/1973;-;-;5,981 ;-;-;-;-
07/1973;-;-;6,128 ;-;-;-;-
08/1973;-;-;6,253 ;-;-;-;-
09/1973;-;-;6,463 ;-;-;-;-
10/1973;-;-;6,490 ;-;-;-;-
11/1973;-;-;6,541 ;-;-;-;-
12/1973;-;-;6,416 ;-;-;-;-
01/1974;-;-;5,909 ;-;-;-;-
02/1974;-;-;6,098 ;-;-;-;-
03/1974;-;-;6,536 ;-;-;-;-
04/1974;-;-;6,528 ;-;-;-;-
05/1974;-;-;6,338 ;-;-;-;-
06/1974;-;-;6,516 ;-;-;-;-
07/1974;-;-;6,260 ;-;-;-;-
08/1974;-;-;6,182 ;-;-;-;-
09/1974;-;-;5,751 ;-;-;-;-
10/1974;-;-;5,576 ;-;-;-;-
11/1974;-;-;5,295 ;-;-;-;-
12/1974;-;-;5,269 ;-;-;-;-
01/1975;-;-;4,990 ;-;-;-;-
02/1975;-;-;4,824 ;-;-;-;-
03/1975;-;-;4,497 ;-;-;-;-
04/1975;-;-;4,311 ;-;-;-;-
05/1975;-;-;4,193 ;-;-;-;-
06/1975;-;-;3,797 ;-;-;-;-
07/1975;-;-;3,754 ;-;-;-;-
08/1975;-;-;3,891 ;-;-;-;-
09/1975;-;-;3,773 ;-;-;-;-
10/1975;-;-;3,690 ;-;-;-;-
11/1975;-;-;3,679 ;-;-;-;-
12/1975;-;-;4,040 ;-;-;-;-
