Date;3546 - International reserves - Total - monthly - US$ (million)
12/1970;1,187
01/1971;1,229
02/1971;1,280
03/1971;1,316
04/1971;1,379
05/1971;1,366
06/1971;1,436
07/1971;1,458
08/1971;1,454
09/1971;1,582
10/1971;1,576
11/1971;1,642
12/1971;1,723
01/1972;1,796
02/1972;1,918
03/1972;2,049
04/1972;2,213
05/1972;2,439
06/1972;2,486
07/1972;2,689
08/1972;3,011
09/1972;3,348
10/1972;3,581
11/1972;3,917
12/1972;4,183
01/1973;4,304
02/1973;4,456
03/1973;4,920
04/1973;5,143
05/1973;5,544
06/1973;5,981
07/1973;6,128
08/1973;6,253
09/1973;6,463
10/1973;6,490
11/1973;6,541
12/1973;6,416
01/1974;5,909
02/1974;6,098
03/1974;6,536
04/1974;6,528
05/1974;6,338
06/1974;6,516
07/1974;6,260
08/1974;6,182
09/1974;5,751
10/1974;5,576
11/1974;5,295
12/1974;5,269
01/1975;4,990
02/1975;4,824
03/1975;4,497
04/1975;4,311
05/1975;4,193
06/1975;3,797
07/1975;3,754
08/1975;3,891
09/1975;3,773
10/1975;3,690
11/1975;3,679
12/1975;4,040
01/1976;3,868
02/1976;3,673
03/1976;3,551
04/1976;3,527
05/1976;3,404
06/1976;3,719
07/1976;3,948
08/1976;4,408
09/1976;4,592
10/1976;4,956
11/1976;5,143
12/1976;6,544
01/1977;6,195
02/1977;5,880
03/1977;5,822
04/1977;5,787
05/1977;5,808
06/1977;5,709
07/1977;6,147
08/1977;6,202
09/1977;5,985
10/1977;6,040
11/1977;5,995
12/1977;7,256
01/1978;6,756
02/1978;6,859
03/1978;7,271
04/1978;7,553
05/1978;7,611
06/1978;8,112
07/1978;8,917
08/1978;9,810
09/1978;10,026
10/1978;10,297
11/1978;11,193
12/1978;11,895
01/1979;11,338
02/1979;11,320
03/1979;11,136
04/1979;11,411
05/1979;10,859
06/1979;10,108
07/1979;10,161
08/1979;9,836
09/1979;9,327
10/1979;9,804
11/1979;9,497
12/1979;9,689
01/1980;8,823
02/1980;8,837
03/1980;7,953
04/1980;7,533
05/1980;6,688
06/1980;6,573
07/1980;7,226
08/1980;6,970
09/1980;6,486
10/1980;6,803
11/1980;6,185
12/1980;6,913
01/1981;6,627
02/1981;6,584
03/1981;6,474
04/1981;6,272
05/1981;6,370
06/1981;6,150
07/1981;6,232
08/1981;6,279
09/1981;6,347
10/1981;6,408
11/1981;6,574
12/1981;7,507
01/1982;7,280
02/1982;7,080
03/1982;7,082
04/1982;7,089
05/1982;6,921
06/1982;6,941
07/1982;7,035
08/1982;6,970
09/1982;5,051
10/1982;3,877
11/1982;3,783
12/1982;3,994
01/1983;3,137
02/1983;3,209
03/1983;3,480
04/1983;3,587
05/1983;3,389
06/1983;3,803
07/1983;3,822
08/1983;4,242
09/1983;3,965
10/1983;3,798
11/1983;4,264
12/1983;4,563
01/1984;4,608
02/1984;5,360
03/1984;5,936
04/1984;6,859
05/1984;7,164
06/1984;7,950
07/1984;8,354
08/1984;9,354
09/1984;9,639
10/1984;9,898
11/1984;10,571
12/1984;11,995
01/1985;10,521
02/1985;10,635
03/1985;11,454
04/1985;11,443
05/1985;11,421
06/1985;11,647
07/1985;12,004
