Date;22701 - Current account - monthly - net - US$ (million)
01/1995;-1,411.4
02/1995;-2,053.4
03/1995;-2,246.2
04/1995;-2,878.6
05/1995;-1,450.9
06/1995;-2,327.1
07/1995;-1,146.0
08/1995;-701.2
09/1995;-574.2
10/1995;-1,946.7
11/1995;-811.1
12/1995;-1,165.5
01/1996;-1,283.6
02/1996;-683.9
03/1996;-1,557.4
04/1996;-1,739.2
05/1996;-941.0
06/1996;-1,634.7
07/1996;-2,407.6
08/1996;-1,275.3
09/1996;-2,180.0
10/1996;-3,787.8
11/1996;-2,032.2
12/1996;-4,320.3
01/1997;-467.6
02/1997;-2,177.5
03/1997;-2,349.6
04/1997;-3,916.9
05/1997;-1,748.9
06/1997;-2,569.9
07/1997;-3,242.5
08/1997;-1,887.1
09/1997;-2,530.3
10/1997;-3,965.0
11/1997;-3,387.9
12/1997;-3,890.2
01/1998;-2,293.1
02/1998;-1,628.4
03/1998;-2,554.3
04/1998;-2,962.1
05/1998;-2,172.6
06/1998;-2,596.6
07/1998;-2,196.9
08/1998;-1,872.1
09/1998;-5,011.6
10/1998;-5,098.1
11/1998;-2,827.8
12/1998;-3,779.3
01/1999;-2,560.4
02/1999;-1,120.6
03/1999;-2,160.7
04/1999;-2,731.6
05/1999;-1,708.8
06/1999;-3,054.4
07/1999;-1,677.5
08/1999;-2,121.5
09/1999;-1,476.6
10/1999;-2,607.3
11/1999;-2,440.3
12/1999;-3,123.8
01/2000;-1,049.0
02/2000;-1,306.8
03/2000;-2,049.6
04/2000;-3,122.3
05/2000;-1,767.2
06/2000;-2,596.0
07/2000;-1,482.8
08/2000;-1,648.5
09/2000;-1,825.4
10/2000;-3,727.4
11/2000;-2,846.9
12/2000;-3,108.9
01/2001;-2,425.9
02/2001;-1,927.2
03/2001;-2,764.5
04/2001;-2,502.8
05/2001;-2,363.4
06/2001;-2,248.7
07/2001;-2,159.1
08/2001;-1,263.9
09/2001;-1,032.2
10/2001;-2,607.8
11/2001;-1,670.2
