Date;28544 - Real effective overall earnings - R$ (million)
02/2012;214,291.00
03/2012;239,170.00
04/2012;239,717.00
05/2012;240,666.00
06/2012;242,134.00
07/2012;243,964.00
08/2012;244,778.00
09/2012;245,603.00
10/2012;245,622.00
11/2012;247,785.00
12/2012;259,148.00
01/2013;259,274.00
02/2013;257,228.00
03/2013;247,052.00
04/2013;248,475.00
05/2013;251,528.00
06/2013;254,304.00
07/2013;256,330.00
08/2013;256,920.00
09/2013;258,536.00
10/2013;259,053.00
11/2013;259,879.00
12/2013;268,070.00
01/2014;270,013.00
02/2014;270,974.00
03/2014;262,323.00
04/2014;262,530.00
05/2014;261,380.00
06/2014;260,114.00
07/2014;261,716.00
08/2014;263,234.00
09/2014;265,468.00
10/2014;264,343.00
11/2014;266,586.00
12/2014;275,931.00
01/2015;274,424.00
02/2015;271,328.00
03/2015;261,858.00
04/2015;260,228.00
05/2015;261,422.00
06/2015;259,809.00
07/2015;257,981.00
08/2015;257,482.00
09/2015;257,669.00
10/2015;257,529.00
11/2015;266,526.00
12/2015;290,184.00
01/2016;288,386.00
02/2016;279,400.00
03/2016;254,123.00
04/2016;254,118.00
05/2016;251,484.00
06/2016;251,276.00
07/2016;252,878.00
08/2016;251,434.00
09/2016;250,955.00
10/2016;251,349.00
11/2016;261,200.00
12/2016;283,944.00
01/2017;284,706.00
02/2017;277,302.00
03/2017;254,321.00
04/2017;253,671.00
05/2017;253,581.00
06/2017;255,482.00
07/2017;257,329.00
08/2017;259,263.00
09/2017;260,231.00
10/2017;261,481.00
11/2017;271,157.00
12/2017;294,980.00
01/2018;295,719.00
02/2018;285,778.00
03/2018;263,423.00
04/2018;262,987.00
05/2018;263,448.00
06/2018;264,769.00
07/2018;267,578.00
08/2018;267,786.00
09/2018;268,053.00
10/2018;268,178.00
11/2018;278,753.00
12/2018;304,501.00
01/2019;305,568.00
02/2019;295,645.00
03/2019;270,807.00
04/2019;269,130.00
05/2019;270,529.00
06/2019;271,319.00
07/2019;274,234.00
08/2019;273,965.00
09/2019;275,789.00
10/2019;277,651.00
11/2019;288,232.00
12/2019;313,881.00
01/2020;313,634.00
02/2020;300,203.00
03/2020;266,539.00
04/2020;250,320.00
05/2020;238,531.00
06/2020;234,831.00
07/2020;237,926.00
08/2020;245,284.00
09/2020;249,932.00
10/2020;254,168.00
11/2020;259,952.00
12/2020;279,385.00
01/2021;278,949.00
02/2021;273,005.00
03/2021;253,802.00
04/2021;255,153.00
05/2021;256,071.00
06/2021;258,224.00
07/2021;258,476.00
08/2021;257,171.00
09/2021;255,645.00
10/2021;254,928.00
11/2021;261,862.00
12/2021;284,397.00
01/2022;284,936.00
02/2022;280,900.00
03/2022;263,094.00
04/2022;266,987.00
05/2022;271,397.00
06/2022;275,637.00
07/2022;279,331.00
08/2022;282,620.00
09/2022;285,484.00
10/2022;288,120.00
11/2022;298,442.00
12/2022;320,056.00
01/2023;319,785.00
02/2023;310,514.00
03/2023;289,810.00
04/2023;288,568.00
05/2023;289,674.00
06/2023;291,647.00
07/2023;294,951.00
08/2023;298,655.00
09/2023;299,109.00
10/2023;301,240.00
11/2023;311,830.00
Source;IBGE
