Date;29023 - Households gross disposable national income (3-months moving average) - R$ (million)
03/2003;92,302
04/2003;91,556
05/2003;92,745
06/2003;95,373
07/2003;97,905
08/2003;98,503
09/2003;96,641
10/2003;96,072
11/2003;97,155
12/2003;100,472
01/2004;101,346
02/2004;100,872
03/2004;99,009
04/2004;98,825
05/2004;100,363
06/2004;103,925
07/2004;107,382
08/2004;109,612
09/2004;108,717
10/2004;109,638
11/2004;110,206
12/2004;113,915
01/2005;113,470
02/2005;113,090
03/2005;110,173
04/2005;109,564
05/2005;110,656
06/2005;114,758
07/2005;118,490
08/2005;119,931
09/2005;118,746
10/2005;119,055
11/2005;122,363
12/2005;125,160
01/2006;126,811
02/2006;123,864
03/2006;121,553
04/2006;119,280
05/2006;121,330
06/2006;125,350
07/2006;129,265
08/2006;130,384
09/2006;131,432
10/2006;132,446
11/2006;135,888
12/2006;137,059
01/2007;138,784
02/2007;137,364
03/2007;136,640
04/2007;135,607
05/2007;137,528
06/2007;140,629
07/2007;143,876
08/2007;145,931
09/2007;146,602
10/2007;147,640
11/2007;150,078
12/2007;155,449
01/2008;156,203
02/2008;155,125
03/2008;150,521
04/2008;150,887
05/2008;154,112
06/2008;159,390
07/2008;165,289
08/2008;168,947
09/2008;169,812
10/2008;169,602
11/2008;171,949
12/2008;176,621
01/2009;177,994
02/2009;175,667
03/2009;172,848
04/2009;172,119
05/2009;174,016
06/2009;177,704
07/2009;184,086
08/2009;187,442
09/2009;187,998
10/2009;186,896
11/2009;190,008
12/2009;195,579
01/2010;196,987
02/2010;196,134
03/2010;194,236
04/2010;194,520
05/2010;196,171
06/2010;199,650
07/2010;207,159
08/2010;212,855
09/2010;215,263
10/2010;215,972
11/2010;217,544
12/2010;221,619
01/2011;222,306
02/2011;223,125
03/2011;219,905
04/2011;221,709
05/2011;223,888
06/2011;231,106
07/2011;238,827
08/2011;242,638
09/2011;242,190
10/2011;239,624
11/2011;244,197
12/2011;249,778
01/2012;251,735
02/2012;250,716
03/2012;247,400
04/2012;248,652
05/2012;250,265
06/2012;255,728
07/2012;263,548
08/2012;268,646
09/2012;270,926
10/2012;271,230
11/2012;274,126
12/2012;279,683
01/2013;280,215
02/2013;278,425
03/2013;276,018
04/2013;277,852
05/2013;282,846
06/2013;289,658
07/2013;297,069
08/2013;300,952
09/2013;303,838
10/2013;304,664
11/2013;308,952
12/2013;313,959
01/2014;315,544
02/2014;313,644
03/2014;308,150
04/2014;308,094
05/2014;309,417
06/2014;313,924
07/2014;321,384
08/2014;328,042
09/2014;333,410
10/2014;335,068
11/2014;339,099
12/2014;343,981
01/2015;339,409
02/2015;333,768
03/2015;327,262
04/2015;325,791
05/2015;328,512
06/2015;332,301
07/2015;338,847
08/2015;341,664
09/2015;341,181
10/2015;345,979
11/2015;360,929
12/2015;381,996
01/2016;376,690
02/2016;367,602
03/2016;349,594
04/2016;349,710
05/2016;347,489
06/2016;352,051
07/2016;360,723
08/2016;365,068
09/2016;366,913
10/2016;368,338
11/2016;380,729
12/2016;399,574
01/2017;397,593
02/2017;387,595
03/2017;370,398
04/2017;373,320
05/2017;377,869
06/2017;383,829
07/2017;389,038
08/2017;389,174
09/2017;388,827
10/2017;390,477
11/2017;403,658
12/2017;425,023
01/2018;423,383
02/2018;410,031
03/2018;388,636
04/2018;384,960
05/2018;384,519
06/2018;391,324
07/2018;404,668
08/2018;414,450
09/2018;416,477
10/2018;416,101
11/2018;424,776
12/2018;442,957
01/2019;439,583
02/2019;426,973
03/2019;407,313
04/2019;404,749
05/2019;407,050
06/2019;406,361
07/2019;424,698
08/2019;430,539
09/2019;445,341
10/2019;446,699
11/2019;459,560
12/2019;486,481
01/2020;480,913
02/2020;468,083
03/2020;428,101
04/2020;428,880
05/2020;443,857
06/2020;470,465
07/2020;491,985
08/2020;496,281
09/2020;489,079
10/2020;475,324
11/2020;469,134
12/2020;487,415
01/2021;482,011
02/2021;478,853
03/2021;457,335
04/2021;466,523
05/2021;472,080
06/2021;492,153
07/2021;512,199
08/2021;515,276
09/2021;501,872
10/2021;490,467
11/2021;497,759
12/2021;526,038
01/2022;523,715
02/2022;526,310
03/2022;515,912
04/2022;530,780
05/2022;552,350
06/2022;568,871
07/2022;586,043
08/2022;587,085
09/2022;580,765
10/2022;575,731
11/2022;583,721
12/2022;613,574
01/2023;610,630
02/2023;602,918
03/2023;584,069
04/2023;593,861
05/2023;602,094
06/2023;620,602
07/2023;646,607
08/2023;655,810
09/2023;643,608
10/2023;629,777
11/2023;640,976
12/2023;683,119
Source;BCB
