Date;29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
03/2003;300,391
04/2003;299,233
05/2003;299,041
06/2003;298,621
07/2003;298,693
08/2003;297,979
09/2003;296,489
10/2003;295,161
11/2003;295,496
12/2003;297,006
01/2004;298,275
02/2004;300,456
03/2004;302,105
04/2004;304,968
05/2004;307,303
06/2004;308,691
07/2004;309,386
08/2004;310,943
09/2004;311,745
10/2004;314,307
11/2004;313,059
12/2004;313,885
01/2005;310,685
02/2005;313,867
03/2005;312,865
04/2005;314,102
05/2005;314,307
06/2005;316,593
07/2005;318,723
08/2005;319,609
09/2005;320,190
10/2005;320,906
11/2005;326,651
12/2005;324,959
01/2006;327,727
02/2006;325,925
03/2006;326,930
04/2006;325,320
05/2006;328,973
06/2006;332,032
07/2006;334,893
08/2006;334,953
09/2006;340,638
10/2006;343,854
11/2006;350,482
12/2006;345,080
01/2007;348,212
02/2007;351,106
03/2007;356,578
04/2007;358,980
05/2007;361,368
06/2007;361,307
07/2007;360,693
08/2007;361,400
09/2007;364,407
10/2007;367,958
11/2007;371,278
12/2007;375,275
01/2008;375,789
02/2008;379,360
03/2008;375,499
04/2008;380,783
05/2008;384,886
06/2008;388,890
07/2008;391,386
08/2008;393,772
09/2008;395,993
10/2008;397,484
11/2008;399,871
12/2008;401,773
01/2009;404,679
02/2009;405,966
03/2009;407,996
04/2009;410,095
05/2009;412,023
06/2009;412,963
07/2009;415,800
08/2009;417,249
09/2009;418,742
10/2009;420,020
11/2009;423,761
12/2009;427,442
01/2010;430,211
02/2010;433,782
03/2010;437,623
04/2010;439,967
05/2010;441,511
06/2010;441,682
07/2010;446,112
08/2010;452,319
09/2010;457,464
10/2010;462,525
11/2010;461,009
12/2010;459,667
01/2011;459,902
02/2011;466,304
03/2011;467,330
04/2011;470,957
05/2011;472,999
06/2011;479,001
07/2011;482,073
08/2011;482,754
09/2011;480,478
10/2011;478,619
11/2011;483,045
12/2011;485,297
01/2012;489,828
02/2012;493,607
03/2012;497,030
04/2012;500,641
05/2012;502,502
06/2012;504,813
07/2012;507,827
08/2012;510,340
09/2012;511,504
10/2012;513,663
11/2012;512,862
12/2012;512,798
01/2013;514,564
02/2013;516,289
03/2013;521,183
04/2013;525,652
05/2013;532,663
06/2013;537,168
07/2013;539,745
08/2013;540,800
09/2013;542,571
10/2013;545,303
11/2013;544,019
12/2013;540,120
01/2014;545,017
02/2014;548,296
03/2014;550,190
04/2014;549,984
05/2014;548,905
06/2014;549,110
07/2014;551,255
08/2014;556,732
09/2014;560,928
10/2014;563,882
11/2014;557,784
12/2014;550,682
01/2015;544,979
02/2015;542,494
03/2015;544,131
04/2015;539,391
05/2015;539,254
06/2015;536,910
07/2015;535,146
08/2015;533,160
09/2015;526,727
10/2015;533,433
11/2015;538,722
12/2015;548,861
01/2016;541,791
02/2016;537,401
03/2016;529,925
04/2016;529,210
05/2016;523,615
06/2016;522,437
07/2016;523,749
08/2016;524,015
09/2016;522,498
10/2016;524,809
11/2016;527,257
12/2016;532,530
01/2017;535,430
02/2017;535,813
03/2017;537,363
04/2017;543,190
05/2017;548,515
06/2017;550,334
07/2017;547,584
08/2017;543,268
09/2017;538,886
10/2017;542,148
11/2017;545,156
12/2017;549,100
01/2018;553,641
02/2018;551,070
03/2018;551,148
04/2018;548,164
05/2018;545,504
06/2018;542,124
07/2018;545,217
08/2018;550,583
09/2018;549,415
10/2018;551,557
11/2018;551,939
12/2018;551,643
01/2019;555,875
02/2019;555,189
03/2019;558,077
04/2019;553,907
05/2019;552,108
06/2019;536,359
07/2019;545,919
08/2019;548,676
09/2019;565,503
10/2019;574,892
11/2019;584,427
12/2019;590,683
01/2020;589,138
02/2020;587,621
03/2020;567,760
04/2020;568,675
05/2020;587,077
06/2020;602,358
07/2020;611,408
08/2020;611,965
09/2020;603,578
10/2020;594,491
11/2020;580,219
12/2020;573,614
01/2021;569,406
02/2021;576,653
03/2021;576,445
04/2021;580,762
05/2021;580,530
06/2021;580,580
07/2021;581,872
08/2021;579,490
09/2021;565,991
10/2021;560,198
11/2021;561,023
12/2021;563,703
01/2022;562,463
02/2022;575,482
03/2022;585,466
04/2022;590,581
05/2022;604,732
06/2022;597,789
07/2022;596,897
08/2022;597,889
09/2022;605,332
10/2022;615,127
11/2022;620,111
12/2022;621,018
01/2023;620,410
02/2023;622,575
03/2023;626,976
04/2023;628,471
05/2023;629,455
06/2023;629,594
07/2023;636,105
08/2023;643,029
09/2023;643,232
10/2023;644,007
11/2023;649,786
12/2023;658,942
Source;BCB
