Date;27574 - Commodity Index - Brazil - Index;29042 - Commodities Index - Brazil (in US Dollars) - Index
01/1998;39.19 ;80.05
02/1998;38.98 ;79.08
03/1998;38.16 ;76.98
04/1998;38.10 ;76.36
05/1998;38.21 ;76.13
06/1998;36.67 ;72.63
07/1998;36.11 ;71.09
08/1998;35.77 ;69.82
09/1998;35.21 ;68.20
10/1998;35.70 ;68.70
11/1998;35.75 ;68.48
12/1998;34.84 ;66.10
01/1999;43.05 ;66.39
02/1999;53.12 ;63.54
03/1999;51.53 ;62.13
04/1999;45.50 ;61.28
05/1999;45.16 ;61.34
06/1999;47.38 ;61.39
07/1999;46.72 ;59.34
08/1999;50.59 ;61.49
09/1999;52.19 ;62.85
10/1999;54.73 ;63.56
11/1999;54.35 ;64.36
12/1999;51.87 ;64.36
01/2000;51.41 ;65.17
02/2000;50.22 ;64.67
03/2000;49.51 ;64.95
04/2000;50.31 ;65.03
05/2000;53.18 ;66.54
06/2000;53.55 ;67.70
07/2000;53.56 ;68.12
08/2000;53.82 ;68.01
09/2000;55.32 ;68.81
10/2000;57.10 ;69.49
11/2000;59.02 ;69.34
12/2000;60.89 ;70.93
01/2001;60.81 ;71.13
02/2001;61.36 ;69.93
03/2001;61.26 ;67.06
04/2001;63.21 ;65.96
05/2001;66.07 ;65.90
06/2001;68.09 ;65.48
07/2001;69.56 ;64.48
08/2001;69.23 ;63.04
09/2001;69.58 ;59.65
10/2001;67.82 ;56.54
11/2001;64.33 ;57.71
12/2001;59.70 ;57.79
01/2002;61.05 ;58.75
02/2002;60.73 ;57.26
03/2002;58.55 ;57.07
04/2002;56.23 ;55.40
05/2002;60.35 ;55.69
06/2002;66.65 ;56.14
07/2002;75.86 ;59.09
08/2002;80.62 ;59.25
09/2002;89.93 ;61.49
10/2002;103.93 ;62.41
11/2002;101.27 ;64.64
12/2002;104.56 ;66.03
01/2003;101.45 ;67.35
02/2003;109.05 ;69.42
03/2003;100.18 ;66.21
04/2003;90.84 ;66.79
05/2003;87.33 ;67.61
06/2003;83.96 ;66.55
07/2003;85.02 ;67.48
08/2003;90.10 ;68.60
09/2003;89.66 ;70.12
10/2003;91.32 ;72.96
11/2003;94.54 ;74.17
12/2003;97.29 ;76.04
01/2004;93.51 ;74.91
02/2004;97.12 ;75.61
03/2004;101.58 ;79.91
04/2004;103.32 ;81.29
05/2004;112.08 ;82.64
06/2004;112.58 ;82.26
07/2004;107.88 ;81.21
08/2004;106.13 ;80.79
09/2004;104.61 ;82.69
10/2004;104.91 ;84.09
11/2004;103.13 ;84.51
12/2004;101.43 ;85.32
01/2005;101.11 ;85.83
02/2005;98.34 ;86.52
03/2005;106.82 ;90.23
04/2005;99.86 ;88.53
05/2005;93.24 ;86.97
06/2005;90.22 ;85.45
07/2005;88.68 ;85.41
08/2005;90.46 ;87.61
09/2005;90.96 ;90.59
10/2005;93.09 ;94.36
11/2005;91.80 ;94.87
12/2005;100.00 ;100.00
01/2006;101.81 ;102.38
02/2006;97.57 ;103.28
03/2006;93.81 ;99.65
04/2006;95.29 ;102.30
05/2006;99.12 ;104.26
06/2006;99.63 ;101.24
07/2006;99.75 ;104.16
08/2006;97.05 ;102.91
09/2006;94.66 ;99.85
10/2006;95.76 ;101.91
11/2006;99.88 ;105.86
12/2006;100.81 ;107.20
01/2007;99.11 ;105.96
02/2007;98.79 ;107.77
03/2007;98.75 ;108.08
04/2007;95.87 ;107.86
05/2007;93.91 ;108.23
06/2007;92.03 ;108.84
07/2007;91.58 ;111.21
08/2007;93.84 ;109.18
09/2007;94.42 ;113.54
10/2007;92.96 ;118.04
11/2007;92.79 ;120.04
12/2007;93.82 ;120.09
01/2008;98.00 ;126.30
02/2008;103.45 ;136.85
03/2008;105.36 ;141.00
04/2008;105.34 ;142.73
05/2008;106.03 ;145.93
06/2008;107.75 ;152.21
07/2008;104.94 ;150.71
08/2008;97.28 ;137.97
09/2008;102.22 ;129.98
10/2008;102.97 ;108.55
11/2008;98.88 ;99.88
12/2008;97.98 ;93.62
01/2009;96.97 ;96.05
02/2009;93.49 ;92.15
03/2009;91.32 ;90.28
04/2009;90.71 ;94.02
05/2009;90.81 ;100.49
06/2009;87.34 ;102.04
07/2009;85.87 ;101.63
08/2009;86.52 ;107.21
09/2009;85.82 ;107.76
10/2009;86.38 ;113.63
11/2009;87.68 ;116.07
12/2009;91.77 ;119.86
01/2010;96.36 ;123.96
02/2010;96.70 ;119.90
03/2010;91.30 ;116.89
04/2010;90.12 ;117.28
05/2010;89.37 ;112.73
06/2010;87.96 ;111.26
07/2010;89.22 ;115.28
08/2010;93.76 ;121.83
09/2010;97.74 ;130.01
10/2010;102.18 ;138.83
11/2010;109.37 ;145.98
12/2010;114.05 ;154.00
01/2011;119.03 ;162.49
02/2011;125.67 ;172.27
03/2011;124.77 ;172.08
04/2011;120.59 ;173.94
05/2011;113.74 ;161.22
06/2011;111.36 ;160.44
07/2011;110.25 ;161.18
08/2011;111.02 ;158.97
09/2011;119.35 ;156.61
10/2011;115.74 ;149.35
11/2011;114.98 ;147.13
12/2011;113.62 ;141.43
01/2012;114.48 ;146.27
02/2012;111.70 ;148.65
03/2012;114.10 ;145.32
04/2012;113.80 ;140.37
05/2012;115.60 ;133.41
06/2012;115.24 ;128.65
07/2012;123.80 ;139.49
08/2012;124.72 ;140.49
09/2012;126.94 ;143.05
10/2012;125.61 ;141.44
11/2012;126.94 ;140.45
12/2012;128.75 ;141.64
01/2013;126.11 ;141.91
02/2013;122.00 ;141.40
03/2013;120.11 ;138.37
04/2013;118.01 ;134.73
05/2013;118.19 ;132.73
06/2013;124.03 ;130.51
07/2013;126.62 ;128.52
08/2013;131.71 ;128.53
09/2013;128.89 ;129.78
10/2013;125.28 ;130.85
11/2013;129.23 ;128.61
12/2013;132.85 ;129.45
01/2014;135.37 ;129.98
02/2014;140.49 ;134.75
03/2014;140.66 ;138.19
04/2014;136.79 ;139.97
05/2014;134.28 ;138.17
06/2014;133.55 ;136.52
07/2014;131.30 ;134.93
08/2014;129.87 ;130.89
09/2014;132.39 ;129.76
10/2014;139.28 ;130.05
11/2014;144.97 ;130.04
12/2014;144.54 ;125.12
01/2015;137.64 ;119.36
02/2015;143.96 ;116.74
03/2015;155.69 ;113.37
04/2015;151.96 ;113.96
05/2015;153.70 ;114.88
06/2015;155.07 ;113.90
07/2015;160.33 ;113.75
08/2015;168.00 ;109.28
09/2015;183.62 ;107.60
10/2015;185.03 ;109.19
11/2015;176.15 ;106.50
12/2015;178.15 ;105.09
01/2016;183.39 ;103.63
02/2016;180.54 ;104.03
03/2016;170.41 ;105.20
04/2016;164.72 ;105.62
05/2016;166.25 ;107.31
06/2016;166.98 ;111.46
07/2016;158.77 ;110.79
08/2016;155.61 ;110.83
09/2016;158.33 ;111.16
10/2016;158.07 ;113.37
11/2016;166.76 ;114.11
12/2016;170.31 ;116.13
01/2017;165.23 ;118.15
02/2017;159.60 ;117.54
03/2017;156.07 ;114.05
04/2017;156.15 ;113.81
05/2017;160.04 ;113.99
06/2017;159.74 ;110.83
07/2017;157.57 ;112.35
08/2017;154.23 ;111.89
09/2017;157.54 ;114.91
10/2017;162.52 ;116.44
11/2017;171.15 ;119.96
12/2017;169.65 ;117.75
01/2018;171.20 ;121.73
02/2018;171.78 ;120.98
03/2018;169.09 ;117.80
