Date;188 - National Consumer Price Index (INPC) - Monthly % var.;1635 - Broad national consumer price index (IPCA) - Food and beverages - Monthly % var.;1636 - Broad national consumer price index (IPCA) - Housing - Monthly % var.;1639 - Broad national consumer price index (IPCA) - Transport - Monthly % var.;10844 - Broad National Consumer Price Index (IPCA) - Services - Monthly % var.;13522 - Broad national consumer price index (IPCA) - in 12 months - %;24369 - Unemployment rate - PNADC - %,
04/1979;3.45 ;-;-;-;-;-;-,
05/1979;1.76 ;-;-;-;-;-;-,
06/1979;3.00 ;-;-;-;-;-;-,
07/1979;5.36 ;-;-;-;-;-;-,
08/1979;5.79 ;-;-;-;-;-;-,
09/1979;6.61 ;-;-;-;-;-;-,
10/1979;5.06 ;-;-;-;-;-;-,
11/1979;6.10 ;-;-;-;-;-;-,
12/1979;4.51 ;-;-;-;-;-;-,
01/1980;6.56 ;-;-;-;-;-;-,
02/1980;4.15 ;-;-;-;-;-;-,
03/1980;5.12 ;-;-;-;-;-;-,
04/1980;4.85 ;-;-;-;-;-;-,
05/1980;5.53 ;-;-;-;-;-;-,
06/1980;5.52 ;-;-;-;-;-;-,
07/1980;5.51 ;-;-;-;-;-;-,
08/1980;5.15 ;-;-;-;-;-;-,
09/1980;4.45 ;-;-;-;-;-;-,
10/1980;9.65 ;-;-;-;-;-;-,
11/1980;8.03 ;-;-;-;-;-;-,
12/1980;6.80 ;-;-;-;-;99.25 ;-,
01/1981;6.21 ;-;-;-;-;99.67 ;-,
02/1981;6.05 ;-;-;-;-;103.07 ;-,
03/1981;5.35 ;-;-;-;-;101.03 ;-,
04/1981;6.54 ;-;-;-;-;103.27 ;-,
05/1981;5.51 ;-;-;-;-;103.00 ;-,
06/1981;5.07 ;-;-;-;-;103.41 ;-,
07/1981;6.20 ;-;-;-;-;104.78 ;-,
08/1981;6.12 ;-;-;-;-;105.85 ;-,
09/1981;5.28 ;-;-;-;-;107.88 ;-,
10/1981;4.62 ;-;-;-;-;99.52 ;-,
11/1981;5.23 ;-;-;-;-;96.89 ;-,
12/1981;5.69 ;-;-;-;-;95.62 ;-,
01/1982;6.71 ;-;-;-;-;95.86 ;-,
02/1982;6.58 ;-;-;-;-;96.29 ;-,
03/1982;5.24 ;-;-;-;-;97.68 ;-,
04/1982;5.65 ;-;-;-;-;96.61 ;-,
05/1982;6.66 ;-;-;-;-;98.65 ;-,
06/1982;7.14 ;-;-;-;-;101.64 ;-,
07/1982;6.39 ;-;-;-;-;101.84 ;-,
08/1982;5.57 ;-;-;-;-;102.75 ;-,
09/1982;4.30 ;-;-;-;-;102.41 ;-,
10/1982;3.91 ;-;-;-;-;101.19 ;-,
11/1982;5.26 ;-;-;-;-;101.22 ;-,
12/1982;8.19 ;-;-;-;-;104.79 ;-,
01/1983;9.14 ;-;-;-;-;108.00 ;-,
02/1983;8.04 ;-;-;-;-;110.38 ;-,
03/1983;7.22 ;-;-;-;-;113.63 ;-,
04/1983;6.57 ;-;-;-;-;115.03 ;-,
05/1983;6.71 ;-;-;-;-;114.67 ;-,
06/1983;10.83 ;-;-;-;-;120.24 ;-,
07/1983;11.43 ;-;-;-;-;127.94 ;-,
08/1983;9.85 ;-;-;-;-;134.69 ;-,
09/1983;11.27 ;-;-;-;-;146.35 ;-,
10/1983;10.10 ;-;-;-;-;156.78 ;-,
11/1983;7.37 ;-;-;-;-;161.90 ;-,
12/1983;8.34 ;-;-;-;-;164.01 ;-,
01/1984;9.39 ;-;-;-;-;166.51 ;-,
02/1984;9.74 ;-;-;-;-;170.57 ;-,
03/1984;9.83 ;-;-;-;-;174.59 ;-,
04/1984;9.52 ;-;-;-;-;182.22 ;-,
05/1984;8.71 ;-;-;-;-;189.03 ;-,
06/1984;9.96 ;-;-;-;-;189.55 ;-,
07/1984;9.11 ;-;-;-;-;188.62 ;-,
08/1984;8.57 ;-;-;-;-;189.25 ;-,
09/1984;11.10 ;-;-;-;-;193.05 ;-,
10/1984;10.49 ;-;-;-;-;197.27 ;-,
11/1984;10.33 ;-;-;-;-;205.97 ;-,
12/1984;11.62 ;-;-;-;-;215.26 ;-,
01/1985;11.84 ;-;-;-;-;221.27 ;-,
02/1985;10.95 ;-;-;-;-;225.28 ;-,
03/1985;9.94 ;-;-;-;-;228.93 ;-,
04/1985;8.58 ;-;-;-;-;224.88 ;-,
05/1985;7.20 ;-;-;-;-;219.36 ;-,
06/1985;8.33 ;-;-;-;-;214.76 ;-,
07/1985;10.08 ;-;-;-;-;216.44 ;-,
08/1985;11.61 ;-;-;-;-;224.26 ;-,
09/1985;10.09 ;-;-;-;-;222.43 ;-,
10/1985;10.25 ;-;-;-;-;222.95 ;-,
11/1985;14.18 ;-;-;-;-;233.02 ;-,
12/1985;15.75 ;-;-;-;-;242.23 ;-,
01/1986;15.01 ;-;-;-;-;250.23 ;-,
02/1986;12.46 ;-;-;-;-;256.08 ;-,
03/1986;3.18 ;-;-;-;-;238.65 ;-,
04/1986;0.43 ;-;-;-;-;215.44 ;-,
05/1986;1.08 ;-;-;-;-;198.38 ;-,
06/1986;0.97 ;-;-;-;-;178.52 ;-,
07/1986;0.91 ;-;-;-;-;156.80 ;-,
08/1986;1.43 ;-;-;-;-;137.33 ;-,
09/1986;1.19 ;-;-;-;-;117.25 ;-,
10/1986;1.43 ;-;-;-;-;100.13 ;-,
11/1986;3.29 ;-;-;-;-;85.17 ;-,
12/1986;7.27 ;-;-;-;-;79.66 ;-,
01/1987;16.82 ;-;-;-;-;77.84 ;-,
02/1987;13.94 ;-;-;-;-;77.71 ;-,
03/1987;14.40 ;-;-;-;-;97.39 ;-,
04/1987;20.96 ;-;-;-;-;133.27 ;-,
05/1987;23.14 ;-;-;-;-;179.40 ;-,
06/1987;21.30 ;-;-;-;-;230.27 ;-,
07/1987;9.93 ;-;-;-;-;254.63 ;-,
08/1987;5.09 ;-;-;-;-;259.14 ;-,
09/1987;7.15 ;-;-;-;-;280.55 ;-,
10/1987;10.88 ;-;-;-;-;315.35 ;-,
11/1987;14.93 ;-;-;-;-;353.27 ;-,
12/1987;13.97 ;-;-;-;-;363.41 ;-,
01/1988;18.97 ;-;-;-;-;386.67 ;-,
02/1988;15.81 ;-;-;-;-;399.90 ;-,
03/1988;18.09 ;-;-;-;-;405.18 ;-,
04/1988;18.33 ;-;-;-;-;405.99 ;-,
05/1988;18.24 ;-;-;-;-;389.19 ;-,
06/1988;22.28 ;-;-;-;-;398.54 ;-,
07/1988;23.02 ;-;-;-;-;456.52 ;-,
08/1988;20.63 ;-;-;-;-;545.24 ;-,
09/1988;26.93 ;-;-;-;-;662.99 ;-,
10/1988;26.69 ;-;-;-;-;761.78 ;-,
11/1988;28.15 ;-;-;-;-;858.09 ;-,
12/1988;28.43 ;-;-;-;-;980.21 ;-,
01/1989;35.48 ;-;-;-;-;1,149.22 ;-
02/1989;16.35 ;-;-;-;-;1,160.88 ;-
03/1989;5.90 ;-;-;-;-;1,045.29 ;-
04/1989;8.06 ;-;-;-;-;940.07 ;-,
05/1989;16.67 ;-;-;-;-;944.50 ;-,
06/1989;29.40 ;-;-;-;-;1,001.44 ;-
07/1989;27.40 ;-;-;-;-;1,054.11 ;-
