DATE,exchange rate
1/1/1960,0
2/1/1960,0
3/1/1960,0
4/1/1960,0
5/1/1960,0
6/1/1960,0
7/1/1960,0
8/1/1960,0
9/1/1960,0
10/1/1960,0
11/1/1960,0
12/1/1960,0
1/1/1961,0
2/1/1961,0
3/1/1961,0
4/1/1961,0
5/1/1961,0
6/1/1961,0
7/1/1961,0
8/1/1961,0
9/1/1961,0
10/1/1961,0
11/1/1961,0
12/1/1961,0
1/1/1962,0
2/1/1962,0
3/1/1962,0
4/1/1962,0
5/1/1962,1.148E-11
6/1/1962,1.35E-11
7/1/1962,1.187E-11
8/1/1962,1.262E-11
9/1/1962,1.288E-11
10/1/1962,1.4E-11
11/1/1962,1.484E-11
12/1/1962,1.341E-11
1/1/1963,1.345E-11
2/1/1963,1.352E-11
3/1/1963,1.405E-11
4/1/1963,1.372E-11
5/1/1963,1.388E-11
6/1/1963,1.389E-11
7/1/1963,1.346E-11
8/1/1963,1.347E-11
9/1/1963,1.498E-11
10/1/1963,1.469E-11
11/1/1963,1.41E-11
12/1/1963,1.325E-11
1/1/1964,1.321E-11
2/1/1964,1.321E-11
3/1/1964,1.385E-11
4/1/1964,1.37E-11
5/1/1964,1.37E-11
6/1/1964,1.376E-11
7/1/1964,1.379E-11
8/1/1964,1.435E-11
9/1/1964,1.435E-11
10/1/1964,1.445E-11
11/1/1964,1.501E-11
12/1/1964,1.509E-11
1/1/1965,1.5E-11
2/1/1965,1.508E-11
3/1/1965,1.5E-11
4/1/1965,1.715E-11
5/1/1965,1.715E-11
6/1/1965,1.715E-11
7/1/1965,1.716E-11
8/1/1965,1.715E-11
9/1/1965,1.789E-11
10/1/1965,1.805E-11
11/1/1965,1.785E-11
12/1/1965,1.885E-11
1/1/1966,1.893E-11
2/1/1966,1.885E-11
3/1/1966,1.885E-11
4/1/1966,1.895E-11
5/1/1966,2.025E-11
6/1/1966,2.048E-11
7/1/1966,2.025E-11
8/1/1966,2.155E-11
9/1/1966,2.175E-11
10/1/1966,2.184E-11
11/1/1966,2.455E-11
12/1/1966,2.473E-11
1/1/1967,2.456E-11
2/1/1967,2.555E-11
3/1/1967,3.5E-11
4/1/1967,3.5E-11
5/1/1967,3.5E-11
6/1/1967,3.5E-11
7/1/1967,3.5E-11
8/1/1967,3.5E-11
9/1/1967,3.5E-11
10/1/1967,3.5E-11
11/1/1967,3.5E-11
12/1/1967,3.5E-11
1/1/1968,3.5E-11
2/1/1968,3.5E-11
3/1/1968,3.5E-11
4/1/1968,3.5E-11
5/1/1968,3.5E-11
6/1/1968,3.5E-11
7/1/1968,3.5E-11
8/1/1968,3.5E-11
9/1/1968,3.5E-11
10/1/1968,3.5E-11
11/1/1968,3.5E-11
12/1/1968,3.5E-11
1/1/1969,3.5E-11
2/1/1969,3.5E-11
3/1/1969,3.5E-11
4/1/1969,3.5E-11
5/1/1969,3.5E-11
6/1/1969,3.5E-11
7/1/1969,3.5E-11
8/1/1969,3.5E-11
9/1/1969,3.5E-11
10/1/1969,3.5E-11
11/1/1969,3.5E-11
12/1/1969,3.5E-11
1/1/1970,3.5E-11
2/1/1970,3.5E-11
3/1/1970,3.5E-11
4/1/1970,3.5E-11
5/1/1970,3.5E-11
6/1/1970,4E-11
7/1/1970,4E-11
8/1/1970,4E-11
9/1/1970,4E-11
10/1/1970,4E-11
11/1/1970,4E-11
12/1/1970,4E-11
1/1/1971,4E-11
2/1/1971,4E-11
3/1/1971,4E-11
4/1/1971,4.04E-11
5/1/1971,4.12E-11
6/1/1971,4.4E-11
7/1/1971,4.7E-11
8/1/1971,5E-11
9/1/1971,5E-11
10/1/1971,5E-11
11/1/1971,5E-11
12/1/1971,5E-11
1/1/1972,5E-11
2/1/1972,5E-11
3/1/1972,5E-11
4/1/1972,5E-11
5/1/1972,5E-11
6/1/1972,5E-11
7/1/1972,5E-11
8/1/1972,5E-11
9/1/1972,5E-11
10/1/1972,5E-11
11/1/1972,5E-11
12/1/1972,5E-11
1/1/1973,5E-11
2/1/1973,5E-11
3/1/1973,5E-11
4/1/1973,5E-11
5/1/1973,5E-11
6/1/1973,5E-11
7/1/1973,5E-11
8/1/1973,5E-11
9/1/1973,5E-11
10/1/1973,5E-11
11/1/1973,5E-11
12/1/1973,5E-11
1/1/1974,5E-11
2/1/1974,5E-11
3/1/1974,5E-11
4/1/1974,5E-11
5/1/1974,5E-11
6/1/1974,5E-11
7/1/1974,5E-11
8/1/1974,5E-11
9/1/1974,5E-11
10/1/1974,5E-11
11/1/1974,5E-11
12/1/1974,5E-11
1/1/1975,1E-10
2/1/1975,1E-10
3/1/1975,1.51E-10
4/1/1975,1.51E-10
5/1/1975,1.51E-10
6/1/1975,2.79E-10
7/1/1975,3.28E-10
8/1/1975,3.78E-10
9/1/1975,5.54E-10
10/1/1975,6.8E-10
11/1/1975,7.25E-10
12/1/1975,7.92E-10
1/1/1976,8.97E-10
2/1/1976,9.88E-10
3/1/1976,1.065E-09
4/1/1976,1.357E-09
5/1/1976,1.4E-09
6/1/1976,1.4E-09
7/1/1976,1.4E-09
8/1/1976,1.4E-09
9/1/1976,1.4E-09
10/1/1976,1.4E-09
11/1/1976,1.4E-09
12/1/1976,2.691E-09
1/1/1977,2.84E-09
2/1/1977,3.022E-09
3/1/1977,3.253E-09
4/1/1977,3.45E-09
5/1/1977,3.63E-09
6/1/1977,3.82E-09
7/1/1977,4.019E-09
8/1/1977,4.26E-09
9/1/1977,4.549E-09
10/1/1977,4.939E-09
11/1/1977,5.366E-09
12/1/1977,5.768E-09
