DATE,Imports value (goods)
1/1/1990,66927682.31
2/1/1990,100527626.4
3/1/1990,145694883.5
4/1/1990,145813685.7
5/1/1990,149238223.2
6/1/1990,144058130.9
7/1/1990,158353957
8/1/1990,170973469.3
9/1/1990,196592664.1
10/1/1990,211660426.2
11/1/1990,212688742.1
12/1/1990,264699098.7
1/1/1991,330663872.2
2/1/1991,446920153.4
3/1/1991,437212109.9
4/1/1991,572617658
5/1/1991,509066295.5
6/1/1991,638545801.2
7/1/1991,677129558.6
8/1/1991,712611965.9
9/1/1991,760744080.1
10/1/1991,828563137.1
11/1/1991,999827421.5
12/1/1991,953640540.2
1/1/1992,926913229.9
2/1/1992,1110536402
3/1/1992,1072452513
4/1/1992,1205288630
5/1/1992,1176869681
6/1/1992,1241994773
7/1/1992,1316028420
8/1/1992,1387063134
9/1/1992,1391366009
10/1/1992,1397107073
11/1/1992,1210035744
12/1/1992,1198575721
1/1/1993,1167978166
2/1/1993,1068845380
3/1/1993,1282269917
4/1/1993,1239668988
5/1/1993,1334811602
6/1/1993,1371706496
7/1/1993,1474561910
8/1/1993,1441811477
9/1/1993,1498907606
10/1/1993,1521838175
11/1/1993,1620421553
12/1/1993,1606701780
1/1/1994,1772803207
2/1/1994,1764201148
3/1/1994,1856683895
4/1/1994,1810863740
5/1/1994,1775199308
6/1/1994,1782278435
7/1/1994,1749911518
8/1/1994,1890621506
9/1/1994,1694460515
10/1/1994,1787389551
11/1/1994,1748986460
12/1/1994,1985870425
1/1/1995,1850392805
2/1/1995,1931115476
3/1/1995,1831024420
4/1/1995,1660809443
5/1/1995,1682917445
6/1/1995,1525478300
7/1/1995,1498309726
8/1/1995,1566739351
9/1/1995,1654059336
10/1/1995,1638702666
11/1/1995,1698980552
12/1/1995,1690980368
1/1/1996,1731024178
2/1/1996,1737822674
3/1/1996,1920080934
4/1/1996,1861507784
5/1/1996,1843284094
6/1/1996,2076435173
7/1/1996,2063950025
8/1/1996,2100625169
9/1/1996,1987652270
10/1/1996,2108398974
11/1/1996,2068865448
12/1/1996,2254004463
1/1/1997,2400398601
2/1/1997,2409481089
3/1/1997,2419866395
4/1/1997,2446093254
5/1/1997,2540416459
6/1/1997,2432822775
7/1/1997,2446509444
8/1/1997,2548773633
9/1/1997,2648231016
10/1/1997,2583291912
11/1/1997,2862330039
12/1/1997,2696560366
1/1/1998,2758362654
2/1/1998,2702010155
3/1/1998,2774609977
4/1/1998,2787271535
5/1/1998,2722200613
6/1/1998,2696045794
7/1/1998,2701631325
8/1/1998,2595554539
9/1/1998,2534425710
10/1/1998,2441124535
11/1/1998,2400516078
12/1/1998,2246559088
1/1/1999,2164414727
2/1/1999,2205335636
3/1/1999,2059245977
4/1/1999,1909125934
5/1/1999,1996788324
6/1/1999,2122507003
7/1/1999,2118314040
8/1/1999,2132457225
9/1/1999,2128109549
10/1/1999,2152916407
11/1/1999,2138889296
12/1/1999,2366142383
1/1/2000,2123646942
2/1/2000,2164254565
3/1/2000,2088949756
4/1/2000,2102101435
5/1/2000,2089786749
6/1/2000,2080540943
7/1/2000,2131659765
8/1/2000,2040444818
9/1/2000,2060922250
10/1/2000,2079244014
11/1/2000,2028702345
12/1/2000,2278105917
1/1/2001,2070821577
2/1/2001,2085380572
3/1/2001,2083430701
4/1/2001,2031838135
5/1/2001,1945629591
6/1/2001,1755069054
7/1/2001,1647205674
8/1/2001,1613864270
9/1/2001,1479121479
10/1/2001,1337642831
11/1/2001,1240069814
12/1/2001,1018766802
1/1/2002,1266173535
2/1/2002,1458014821
3/1/2002,1590081261
4/1/2002,1677541943
5/1/2002,2658396487
6/1/2002,2523770169
7/1/2002,2632502287
8/1/2002,2551141275
9/1/2002,2601507945
10/1/2002,2836947830
11/1/2002,2763503133
12/1/2002,2832731378
1/1/2003,2744479693
2/1/2003,2894443627
3/1/2003,3020232633
4/1/2003,3234407952
5/1/2003,2948365986
6/1/2003,3112143840
7/1/2003,3187184569
8/1/2003,3218310517
9/1/2003,3655752742
10/1/2003,3665106329
11/1/2003,3883989445
12/1/2003,4446239493
1/1/2004,5169869138
2/1/2004,4718943675
3/1/2004,4812155436
4/1/2004,4787977709
5/1/2004,5330615495
6/1/2004,5631716559
7/1/2004,5598774607
8/1/2004,5763953483
9/1/2004,5782885501
10/1/2004,5755002466
11/1/2004,6071154126
12/1/2004,6251208617
1/1/2005,6445832721
2/1/2005,6383132199
3/1/2005,6669843201
4/1/2005,6950162234
5/1/2005,6989950050
6/1/2005,7274539424
7/1/2005,6574607669
8/1/2005,6776114937
9/1/2005,6707134752
10/1/2005,7245154083
11/1/2005,7462619934
12/1/2005,7846251220
1/1/2006,7805392752
2/1/2006,8330322946
3/1/2006,8271101992
4/1/2006,8705822098
5/1/2006,8133084820
6/1/2006,8181530683
7/1/2006,8446269176
8/1/2006,8989647906
9/1/2006,9425745079
10/1/2006,9429851283
11/1/2006,9294811587
12/1/2006,9313793451
1/1/2007,9740986452
2/1/2007,10199037926
3/1/2007,11082077671
4/1/2007,10322389292
5/1/2007,10357523163
6/1/2007,10768839105
7/1/2007,11707325816
8/1/2007,12884017583
9/1/2007,12361861039
10/1/2007,12503681678
11/1/2007,12886269064
12/1/2007,13689405164
1/1/2008,15276227996
2/1/2008,15154570807
3/1/2008,15295890668
4/1/2008,15742980408
5/1/2008,16206121073
6/1/2008,15470026798
7/1/2008,15746620997
8/1/2008,14925605782
9/1/2008,14879948279
10/1/2008,14950818942
11/1/2008,14196645423
12/1/2008,12293288615
1/1/2009,10868760548
2/1/2009,11259303555
3/1/2009,11206307108
4/1/2009,10992615200
5/1/2009,10073453995
6/1/2009,12641993403
7/1/2009,11598561890
8/1/2009,11723017147
9/1/2009,12628453917
10/1/2009,13117476016
11/1/2009,13694246853
12/1/2009,14213089540
1/1/2010,14665349842
2/1/2010,16326094606
3/1/2010,17398895541
4/1/2010,17237527189
5/1/2010,18060443605
6/1/2010,18627561138
7/1/2010,18517141835
8/1/2010,18896075053
9/1/2010,19118556173
10/1/2010,19324494804
11/1/2010,21171316844
12/1/2010,22160293979
1/1/2011,22321516404
2/1/2011,23198321974
3/1/2011,23534257443
4/1/2011,24713031077
5/1/2011,25132368771
6/1/2011,25045651694
7/1/2011,26485116155
8/1/2011,27777185440
9/1/2011,26596748584
10/1/2011,26111759913
11/1/2011,25787667306
12/1/2011,27512694856
1/1/2012,25986664476
2/1/2012,23986831705
3/1/2012,23483798463
4/1/2012,23222388724
5/1/2012,24836798791
6/1/2012,25083500915
7/1/2012,25820919985
8/1/2012,25196544515
9/1/2012,26813450669
10/1/2012,27496593884
11/1/2012,27433284662
12/1/2012,29260287111
1/1/2013,29250796787
2/1/2013,30763776933
3/1/2013,32086130522
4/1/2013,33030024987
5/1/2013,34003965498
6/1/2013,33870063980
7/1/2013,32947949116
8/1/2013,35124567197
9/1/2013,33047008426
10/1/2013,37481808851
11/1/2013,37323841286
12/1/2013,37161184850
1/1/2014,43732108416
2/1/2014,51118530084
3/1/2014,44412945220
4/1/2014,45887935612
5/1/2014,43390396071
6/1/2014,43799820056
7/1/2014,44000800851
8/1/2014,43537991254
9/1/2014,44410413045
10/1/2014,43156333687
11/1/2014,42342613791
12/1/2014,39189777689
1/1/2015,41909431057
2/1/2015,42918637806
3/1/2015,44815234918
4/1/2015,44556932262
5/1/2015,44216051804
6/1/2015,47160867659
7/1/2015,46431118842
8/1/2015,47472112821
9/1/2015,47372561274
10/1/2015,45844914572
11/1/2015,47457235019
12/1/2015,55241044570
1/1/2016,65498592018
2/1/2016,74916390355
3/1/2016,68250914371
4/1/2016,63463111895
5/1/2016,64238726550
6/1/2016,63859150037
7/1/2016,66214282564
8/1/2016,66810633659
9/1/2016,66768611500
10/1/2016,70784684237
11/1/2016,72646513787
12/1/2016,81296662516
1/1/2017,76517202602
2/1/2017,77555514105
3/1/2017,82500206372
4/1/2017,82811304976
5/1/2017,86367324370
6/1/2017,86032850133
7/1/2017,96764667880
8/1/2017,97479510473
9/1/2017,99308366409
10/1/2017,1.03829E+11
11/1/2017,1.10531E+11
12/1/2017,1.12823E+11
1/1/2018,1.17173E+11
2/1/2018,1.20701E+11
3/1/2018,1.27736E+11
4/1/2018,1.27477E+11
5/1/2018,1.3983E+11
6/1/2018,1.35715E+11
7/1/2018,1.54732E+11
8/1/2018,1.6825E+11
9/1/2018,1.82398E+11
10/1/2018,1.73588E+11
11/1/2018,1.63813E+11
12/1/2018,1.72983E+11
1/1/2019,1.70333E+11
2/1/2019,1.80341E+11
3/1/2019,1.72345E+11
4/1/2019,1.86619E+11
5/1/2019,1.8889E+11
6/1/2019,1.7663E+11
7/1/2019,1.8154E+11
8/1/2019,2.0645E+11
9/1/2019,2.18258E+11
10/1/2019,2.23721E+11
11/1/2019,2.15201E+11
12/1/2019,2.14061E+11
1/1/2020,2.28163E+11
2/1/2020,2.33299E+11
3/1/2020,1.98919E+11
4/1/2020,1.92129E+11
5/1/2020,2.07455E+11
6/1/2020,2.08131E+11
7/1/2020,2.13912E+11
8/1/2020,2.31978E+11
9/1/2020,2.78713E+11
10/1/2020,2.95055E+11
11/1/2020,3.58305E+11
12/1/2020,3.646E+11
1/1/2021,3.8355E+11
2/1/2021,4.10537E+11
3/1/2021,4.72468E+11
4/1/2021,4.40743E+11
5/1/2021,4.58084E+11
6/1/2021,4.91177E+11
7/1/2021,4.89074E+11
8/1/2021,4.89851E+11
9/1/2021,5.25124E+11
10/1/2021,5.25074E+11
11/1/2021,6.20836E+11
12/1/2021,7.25864E+11
1/1/2022,6.31706E+11
2/1/2022,7.39724E+11
3/1/2022,7.77871E+11
4/1/2022,8.25222E+11
5/1/2022,8.65338E+11
6/1/2022,9.42064E+11
7/1/2022,9.9963E+11
8/1/2022,9.06269E+11
9/1/2022,9.35125E+11
10/1/2022,9.26099E+11
11/1/2022,9.7641E+11
12/1/2022,1.02547E+12
1/1/2023,1.11317E+12
2/1/2023,1.16535E+12
3/1/2023,1.39274E+12
4/1/2023,1.45896E+12
5/1/2023,1.53168E+12
6/1/2023,1.57616E+12
7/1/2023,1.62442E+12
