DATE,m1 money supply
1/1/1998,24056806000
2/1/1998,23637729000
3/1/1998,23868187000
4/1/1998,24277759000
5/1/1998,25078798000
6/1/1998,25361059000
7/1/1998,25148965000
8/1/1998,24881422000
9/1/1998,24349606000
10/1/1998,23161161000
11/1/1998,23615436000
12/1/1998,25749159000
1/1/1999,23757776000
2/1/1999,23641596000
3/1/1999,23430611000
4/1/1999,23125691000
5/1/1999,23673645000
6/1/1999,24416447000
7/1/1999,24340466000
8/1/1999,23548108000
9/1/1999,23701452000
10/1/1999,23181374000
11/1/1999,23278925000
12/1/1999,25172647000
1/1/2000,22236061000
2/1/2000,21282717586
3/1/2000,21403214124
4/1/2000,21203136065
5/1/2000,21886147643
6/1/2000,22161888230
7/1/2000,22037544981
8/1/2000,21610023145
9/1/2000,21930956875
10/1/2000,21181083957
11/1/2000,20866226384
12/1/2000,22801914372
1/1/2001,21192532382
2/1/2001,21600391000
3/1/2001,19069184000
4/1/2001,21241969000
5/1/2001,20620935000
6/1/2001,20215624000
7/1/2001,18777879000
8/1/2001,17163266000
9/1/2001,17014205000
10/1/2001,15798147000
11/1/2001,15087552000
12/1/2001,19414833000
1/1/2002,21538464000
2/1/2002,24301033000
3/1/2002,23716895000
4/1/2002,24344973000
5/1/2002,25533602000
6/1/2002,25514543000
7/1/2002,25487979000
8/1/2002,25462327000
9/1/2002,25616704000
10/1/2002,26476959000
11/1/2002,28476015000
12/1/2002,31267876000
1/1/2003,30663508000
2/1/2003,31217848000
3/1/2003,31231770000
4/1/2003,31865810000
5/1/2003,34667412000
6/1/2003,36610502000
7/1/2003,38823263000
8/1/2003,40775093000
9/1/2003,40524404000
10/1/2003,43808343000
11/1/2003,46160509000
12/1/2003,49417163000
1/1/2004,50155056000
2/1/2004,50785495000
3/1/2004,50549356000
4/1/2004,52118674000
5/1/2004,54620248000
6/1/2004,56531631000
7/1/2004,57765405000
8/1/2004,56782462000
9/1/2004,56613487000
10/1/2004,57025935000
11/1/2004,59208447000
12/1/2004,64467648000
1/1/2005,62999492000
2/1/2005,61984381000
3/1/2005,62635082000
4/1/2005,63990717000
5/1/2005,65745754000
6/1/2005,66760793000
7/1/2005,68123329000
8/1/2005,68744168000
9/1/2005,68810030000
10/1/2005,71746381000
11/1/2005,74181109000
12/1/2005,82064315000
1/1/2006,79900198000
2/1/2006,78570076000
3/1/2006,78474192000
4/1/2006,79752389000
5/1/2006,81602127000
6/1/2006,85015446000
7/1/2006,86262936000
8/1/2006,85664906000
9/1/2006,87103911000
10/1/2006,88504759000
11/1/2006,93604765000
12/1/2006,98458207000
1/1/2007,98136526000
2/1/2007,98646441000
3/1/2007,98074250000
4/1/2007,1.02386E+11
