DATE,Interest Rates (Gov Securities/Treasury Bills)
1/1/1995,42.4100693
2/1/1995,46.6141715
3/1/1995,49.7112379
4/1/1995,84.5738082
5/1/1995,59.365845
6/1/1995,56.628321
7/1/1995,57.1723525
8/1/1995,49.9515642
9/1/1995,38.9662613
10/1/1995,41.674092
11/1/1995,35.877211
12/1/1995,36.2310632
1/1/1996,32.5887523
2/1/1996,28.535497
3/1/1996,28.4276798
4/1/1996,25.4450968
5/1/1996,25.1296551
6/1/1996,24.2923344
7/1/1996,23.7718454
8/1/1996,24.9197997
9/1/1996,24.3966935
10/1/1996,23.2535274
11/1/1996,24.5011399
12/1/1996,23.4605947
1/1/1997,23.0468061
2/1/1997,22.6343989
3/1/1997,20.5929229
4/1/1997,20.3906464
5/1/1997,23.1501236
6/1/1997,21.1000962
7/1/1997,20.8969724
8/1/1997,20.9984919
9/1/1997,22.58
10/1/1997,21.48
11/1/1997,42.32
12/1/1997,38.32
1/1/1998,36.61
2/1/1998,35.55
3/1/1998,29.86
4/1/1998,23.13
5/1/1998,24.02
6/1/1998,22.23
7/1/1998,.
8/1/1998,.
9/1/1998,.
10/1/1998,.
11/1/1998,.
12/1/1998,.
1/1/1999,.
2/1/1999,.
3/1/1999,37.78
4/1/1999,27.5
5/1/1999,23.07
6/1/1999,22.92
7/1/1999,.
8/1/1999,22.31
9/1/1999,21.36
10/1/1999,20.61
11/1/1999,23.07
12/1/1999,20.62
1/1/2000,19.32
2/1/2000,20
3/1/2000,18.21
4/1/2000,20.13
5/1/2000,20.29
6/1/2000,18.67
7/1/2000,17.8
8/1/2000,17.25
9/1/2000,17.22
10/1/2000,17.64
11/1/2000,18.44
12/1/2000,17.1
1/1/2001,15.61
2/1/2001,16.18
3/1/2001,15.98
4/1/2001,15.98
5/1/2001,20.57
6/1/2001,20.7
7/1/2001,21.88
8/1/2001,22.6
9/1/2001,22.86
10/1/2001,23.18
11/1/2001,24.8
12/1/2001,20.35
1/1/2002,19.75
2/1/2002,19.01
3/1/2002,18.54
4/1/2002,19.14
5/1/2002,18.91
6/1/2002,18.9
7/1/2002,21.49
8/1/2002,18.43
9/1/2002,19.45
10/1/2002,19.85
11/1/2002,.
12/1/2002,.
1/1/2003,.
2/1/2003,28.78
3/1/2003,27.16
4/1/2003,24.16
5/1/2003,24.516
6/1/2003,22.52494932
7/1/2003,21.532
8/1/2003,20.121
9/1/2003,18.62
10/1/2003,17.68
11/1/2003,16.429
12/1/2003,15.767
1/1/2004,15.419
2/1/2004,16.043
3/1/2004,15.546
4/1/2004,15.82
5/1/2004,18.147
6/1/2004,16.728
7/1/2004,17.36
8/1/2004,18.137
9/1/2004,17.686
10/1/2004,18.238
11/1/2004,18.346
12/1/2004,18.174
1/1/2005,18.888
2/1/2005,19.017
3/1/2005,19.768
4/1/2005,19.932
5/1/2005,19.673
6/1/2005,19.356
7/1/2005,18.936
