DATE,M1 Money Supply
7/1/1994,11185005532
8/1/1994,13694927767
9/1/1994,16048570347
10/1/1994,17463996388
11/1/1994,18203751152
12/1/1994,19076457401
1/1/1995,17232786285
2/1/1995,19533076554
3/1/1995,17252857212
4/1/1995,17426812676
5/1/1995,16798640781
6/1/1995,18072066102
7/1/1995,18675693985
8/1/1995,18825112691
9/1/1995,19269921558
10/1/1995,20711184219
11/1/1995,22337908407
12/1/1995,23796002981
1/1/1996,22311961192
2/1/1996,22697247089
3/1/1996,23059398895
4/1/1996,23893785183
5/1/1996,23818800335
6/1/1996,23924114192
7/1/1996,24223494094
8/1/1996,24654538316
9/1/1996,25494916453
10/1/1996,24418972073
11/1/1996,24668592638
12/1/1996,25014174042
1/1/1997,31518531863
2/1/1997,35596050854
3/1/1997,37629891513
4/1/1997,37344835374
5/1/1997,38503779313
6/1/1997,38692098383
7/1/1997,37433928788
8/1/1997,39287123942
9/1/1997,39947678454
10/1/1997,41398616241
11/1/1997,40133599837
12/1/1997,39981491794
1/1/1998,40457070796
2/1/1998,42106427960
3/1/1998,42349526011
4/1/1998,43670442017
5/1/1998,44316938878
6/1/1998,45319014037
7/1/1998,45610706551
8/1/1998,45832114709
9/1/1998,44951874261
10/1/1998,45024525970
11/1/1998,46186733595
12/1/1998,42910368316
1/1/1999,47347367173
2/1/1999,47071192809
3/1/1999,46297688747
4/1/1999,45653125185
5/1/1999,46029323774
6/1/1999,47395291404
7/1/1999,49392305601
8/1/1999,49105650789
9/1/1999,48091955714
10/1/1999,50355167587
11/1/1999,51638090968
12/1/1999,53224013564
1/1/2000,53815813614
2/1/2000,53285567270
3/1/2000,54373223757
4/1/2000,55310603741
5/1/2000,55887599422
6/1/2000,56559420805
7/1/2000,58340811907
8/1/2000,58606185366
9/1/2000,60567777115
10/1/2000,62243096691
11/1/2000,62921745079
12/1/2000,62623107964
1/1/2001,63990404782
2/1/2001,67365186524
3/1/2001,67373324310
4/1/2001,68146065440
5/1/2001,69034800805
6/1/2001,68502396978
7/1/2001,69062807937
8/1/2001,69842374770
9/1/2001,69363806695
10/1/2001,69765561359
11/1/2001,69938765669
12/1/2001,68504985000
1/1/2002,73604491000
2/1/2002,73963853000
3/1/2002,76314670000
4/1/2002,79243571000
5/1/2002,81109761000
6/1/2002,84638296000
7/1/2002,88810944000
8/1/2002,91563697000
9/1/2002,90649448000
10/1/2002,94310017000
11/1/2002,93700046000
12/1/2002,92854250000
1/1/2003,92545120000
2/1/2003,91919340000
3/1/2003,90935409000
4/1/2003,91007084000
5/1/2003,90826030000
6/1/2003,91146668000
7/1/2003,91188418000
8/1/2003,90769267000
9/1/2003,88585984000
10/1/2003,91774175000
11/1/2003,93668471000
12/1/2003,95804441000
1/1/2004,98299148000
2/1/2004,1.00779E+11
3/1/2004,1.02946E+11
4/1/2004,1.05355E+11
5/1/2004,1.06947E+11
6/1/2004,1.07981E+11
7/1/2004,1.09241E+11
8/1/2004,1.10848E+11
9/1/2004,1.12747E+11
10/1/2004,1.13888E+11
11/1/2004,1.1311E+11
12/1/2004,1.11573E+11
1/1/2005,1.17281E+11
2/1/2005,1.1826E+11
3/1/2005,1.20068E+11
4/1/2005,1.19878E+11
5/1/2005,1.21078E+11
6/1/2005,1.22974E+11
7/1/2005,1.23149E+11
8/1/2005,1.23584E+11
9/1/2005,1.24237E+11
10/1/2005,1.2392E+11
