DATE,m2 money supply
1/1/1970,0.0124
2/1/1970,0.0127
3/1/1970,0.0135
4/1/1970,0.0138
5/1/1970,0.0142
6/1/1970,0.0149
7/1/1970,0.0149
8/1/1970,0.0153
9/1/1970,0.0135
10/1/1970,0.0156
11/1/1970,0.016
12/1/1970,0.0171
1/1/1971,0.0164
2/1/1971,0.0164
3/1/1971,0.0171
4/1/1971,0.0171
5/1/1971,0.0178
6/1/1971,0.0193
7/1/1971,0.0189
8/1/1971,0.0196
9/1/1971,0.0207
10/1/1971,0.0215
11/1/1971,0.0225
12/1/1971,0.0222
1/1/1972,0.0215
2/1/1972,0.0218
3/1/1972,0.0233
4/1/1972,0.024
5/1/1972,0.0247
6/1/1972,0.0258
7/1/1972,0.0262
8/1/1972,0.0269
9/1/1972,0.028
10/1/1972,0.0291
11/1/1972,0.0305
12/1/1972,0.0327
1/1/1973,0.032
2/1/1973,0.0331
3/1/1973,0.0342
4/1/1973,0.036
5/1/1973,0.0375
6/1/1973,0.0396
7/1/1973,0.0407
8/1/1973,0.0418
9/1/1973,0.0436
10/1/1973,0.0444
11/1/1973,0.0455
12/1/1973,0.0476
1/1/1974,0.0458
2/1/1974,0.0473
3/1/1974,0.0498
4/1/1974,0.0502
5/1/1974,0.0516
6/1/1974,0.0535
7/1/1974,0.0531
8/1/1974,0.0556
9/1/1974,0.056
10/1/1974,0.0578
11/1/1974,0.0615
12/1/1974,0.0647
1/1/1975,0.0622
2/1/1975,0.0625
3/1/1975,0.0655
4/1/1975,0.0684
5/1/1975,0.0724
6/1/1975,0.076
7/1/1975,0.0778
8/1/1975,0.0818
9/1/1975,0.0847
10/1/1975,0.0869
11/1/1975,0.0924
12/1/1975,0.0996
1/1/1976,0.0985
2/1/1976,0.1015
3/1/1976,0.1044
4/1/1976,0.1095
5/1/1976,0.1135
6/1/1976,0.1222
7/1/1976,0.1233
8/1/1976,0.1276
9/1/1976,0.1302
10/1/1976,0.1342
11/1/1976,0.1393
12/1/1976,0.152
1/1/1977,0.1455
2/1/1977,0.1473
3/1/1977,0.152
4/1/1977,0.1596
5/1/1977,0.1644
6/1/1977,0.1731
7/1/1977,0.1778
8/1/1977,0.1847
9/1/1977,0.188
10/1/1977,0.192
11/1/1977,0.2
12/1/1977,0.2102
1/1/1978,0.2044
2/1/1978,0.2091
3/1/1978,0.2189
4/1/1978,0.228
5/1/1978,0.2371
6/1/1978,0.2491
7/1/1978,0.2516
8/1/1978,0.2622
9/1/1978,0.2767
10/1/1978,0.2793
11/1/1978,0.2876
12/1/1978,0.3073
1/1/1979,0.3007
2/1/1979,0.3102
3/1/1979,0.3196
4/1/1979,0.3265
5/1/1979,0.3404
6/1/1979,0.3622
7/1/1979,0.3771
8/1/1979,0.3884
9/1/1979,0.4102
10/1/1979,0.4193
11/1/1979,0.4371
12/1/1979,0.4789
1/1/1980,0.4771
2/1/1980,0.5029
3/1/1980,0.5178
4/1/1980,0.5531
5/1/1980,0.5909
6/1/1980,0.6185
7/1/1980,0.6218
8/1/1980,0.66
9/1/1980,0.6905
10/1/1980,0.7131
11/1/1980,0.76
12/1/1980,0.8211
1/1/1981,0.7993
2/1/1981,0.8527
3/1/1981,0.8956
4/1/1981,1.0011
5/1/1981,1.0618
6/1/1981,1.1538
7/1/1981,1.2342
8/1/1981,1.3047
9/1/1981,1.3869
10/1/1981,1.548
11/1/1981,1.6935
12/1/1981,1.9535
1/1/1982,1.9389
2/1/1982,2.0058
3/1/1982,2.0713
4/1/1982,2.2455
5/1/1982,2.3851
6/1/1982,2.6371
7/1/1982,2.7353
8/1/1982,2.8124
9/1/1982,3.0069
10/1/1982,3.2465
11/1/1982,3.4793
12/1/1982,3.8342
1/1/1983,3.9836
2/1/1983,4.0698
3/1/1983,4.1393
4/1/1983,4.4502
5/1/1983,4.7098
6/1/1983,5.1247
7/1/1983,5.5171
8/1/1983,6.0138
9/1/1983,6.0967
10/1/1983,6.8087
11/1/1983,7.1815
12/1/1983,7.7724
1/1/1984,8.2182
2/1/1984,8.5465
3/1/1984,9.66
4/1/1984,10.6542
5/1/1984,12.1269
6/1/1984,13.3509
7/1/1984,15.2625
8/1/1984,17.4556
9/1/1984,20.6353
10/1/1984,23.6993
11/1/1984,28.1385
12/1/1984,32.4676
1/1/1985,35.5204
2/1/1985,39.3447
3/1/1985,44.5207
4/1/1985,51.7516
5/1/1985,60.0789
6/1/1985,68.9422
7/1/1985,79.8953
8/1/1985,90.5604
9/1/1985,99.8916
10/1/1985,112.7884
11/1/1985,127.1298
12/1/1985,146.8865
1/1/1986,158.788
2/1/1986,180.0284
3/1/1986,228.9647
4/1/1986,242.8255
5/1/1986,257.4422
6/1/1986,271.1447
7/1/1986,267.5251
8/1/1986,277.5531
9/1/1986,271.1942
10/1/1986,292.3455
11/1/1986,292.3545
12/1/1986,318.4131
1/1/1987,303.9785
2/1/1987,346.2076
3/1/1987,405.9247
4/1/1987,432.3636
5/1/1987,542.9091
6/1/1987,654.5455
7/1/1987,727.2727
8/1/1987,766.9091
9/1/1987,844.3636
10/1/1987,960
11/1/1987,1122.5455
12/1/1987,1355.6364
1/1/1988,1518.5455
