DATE,spot exchange rate
1/1/1960,0.00105
2/1/1960,0.00105
3/1/1960,0.00105
4/1/1960,0.00105
5/1/1960,0.00105
6/1/1960,0.00105
7/1/1960,0.00105
8/1/1960,0.00105
9/1/1960,0.00105
10/1/1960,0.00105
11/1/1960,0.00105
12/1/1960,0.00105
1/1/1961,0.00105
2/1/1961,0.00105
3/1/1961,0.00105
4/1/1961,0.00105
5/1/1961,0.00105
6/1/1961,0.00105
7/1/1961,0.00105
8/1/1961,0.00105
9/1/1961,0.00105
10/1/1961,0.00105
11/1/1961,0.00105
12/1/1961,0.00105
1/1/1962,0.00105
2/1/1962,0.00105
3/1/1962,0.00105
4/1/1962,0.00105
5/1/1962,0.00105
6/1/1962,0.00105
7/1/1962,0.00105
8/1/1962,0.00105
9/1/1962,0.00105
10/1/1962,0.00123
11/1/1962,0.00142
12/1/1962,0.00164
1/1/1963,0.0018
2/1/1963,0.00181
3/1/1963,0.00182
4/1/1963,0.00182
5/1/1963,0.00184
6/1/1963,0.00184
7/1/1963,0.00186
8/1/1963,0.0019
9/1/1963,0.00193
10/1/1963,0.00197
11/1/1963,0.002
12/1/1963,0.00215
1/1/1964,0.0023
2/1/1964,0.0023
3/1/1964,0.0023
4/1/1964,0.00236
5/1/1964,0.00236
6/1/1964,0.00235
7/1/1964,0.00235
8/1/1964,0.00235
9/1/1964,0.00236
10/1/1964,0.0025
11/1/1964,0.00251
12/1/1964,0.0027
1/1/1965,0.00285
2/1/1965,0.00286
3/1/1965,0.00294
4/1/1965,0.00298
5/1/1965,0.00305
6/1/1965,0.0031
7/1/1965,0.00316
8/1/1965,0.00322
9/1/1965,0.00337
10/1/1965,0.00341
11/1/1965,0.00345
12/1/1965,0.00347
1/1/1966,0.00354
2/1/1966,0.00362
3/1/1966,0.00371
4/1/1966,0.00378
5/1/1966,0.00387
6/1/1966,0.00397
7/1/1966,0.00403
8/1/1966,0.00411
9/1/1966,0.00417
10/1/1966,0.00425
11/1/1966,0.00431
12/1/1966,0.00437
1/1/1967,0.009999999
2/1/1967,0.009999999
3/1/1967,0.009999999
4/1/1967,0.009999999
5/1/1967,0.009999999
6/1/1967,0.009999999
7/1/1967,0.009999999
8/1/1967,0.009999999
9/1/1967,0.009999999
10/1/1967,0.009999999
11/1/1967,0.009999999
12/1/1967,0.009999999
1/1/1968,0.009999999
2/1/1968,0.009999999
3/1/1968,0.009999999
4/1/1968,0.009999999
5/1/1968,0.009999999
6/1/1968,0.009999999
7/1/1968,0.009999999
8/1/1968,0.009999999
9/1/1968,0.009999999
10/1/1968,0.009999999
11/1/1968,0.009999999
12/1/1968,0.009999999
1/1/1969,0.009999999
2/1/1969,0.009999999
3/1/1969,0.009999999
4/1/1969,0.009999999
5/1/1969,0.009999999
6/1/1969,0.009999999
7/1/1969,0.009999999
8/1/1969,0.009999999
9/1/1969,0.009999999
10/1/1969,0.009999999
11/1/1969,0.009999999
12/1/1969,0.009999999
1/1/1970,0.009999999
2/1/1970,0.009999999
3/1/1970,0.009999999
4/1/1970,0.009999999
5/1/1970,0.009999999
6/1/1970,0.009999999
7/1/1970,0.009999999
8/1/1970,0.009999999
9/1/1970,0.009999999
10/1/1970,0.009999999
11/1/1970,0.009999999
12/1/1970,0.009999999
1/1/1971,0.009999999
2/1/1971,0.009999999
3/1/1971,0.009999999
4/1/1971,0.009999999
5/1/1971,0.009999999
6/1/1971,0.009999999
7/1/1971,0.029999999
8/1/1971,0.029999999
9/1/1971,0.029999999
10/1/1971,0.029999999
11/1/1971,0.029999999
12/1/1971,0.029999999
1/1/1972,0.029999999
2/1/1972,0.029999999
3/1/1972,0.029999999
4/1/1972,0.029999999
5/1/1972,0.029999999
6/1/1972,0.029999999
7/1/1972,0.029999999
8/1/1972,0.029999999
9/1/1972,0.049999999
10/1/1972,0.049999999
11/1/1972,0.049999999
12/1/1972,0.049999999
1/1/1973,0.049999999
2/1/1973,0.049999999
3/1/1973,0.049999999
4/1/1973,0.049999999
5/1/1973,0.129999999
6/1/1973,0.159999999
7/1/1973,0.239999999
8/1/1973,0.299999999
9/1/1973,0.35
10/1/1973,0.849999999
11/1/1973,0.779999999
12/1/1973,0.75
1/1/1974,0.75
2/1/1974,0.75
3/1/1974,0.739999999
4/1/1974,0.739999999
5/1/1974,0.719999999
6/1/1974,0.829999999
7/1/1974,0.949999999
8/1/1974,0.989999999
9/1/1974,1.179999999
10/1/1974,1.35
11/1/1974,1.559999999
12/1/1974,2
1/1/1975,2.349999999
2/1/1975,2.55
3/1/1975,3.699999999
4/1/1975,4.199999999
5/1/1975,4.8
6/1/1975,5.5
7/1/1975,6
8/1/1975,6
9/1/1975,6.399999999
10/1/1975,7.099999999
11/1/1975,7.799999999
12/1/1975,8.5
1/1/1976,10
2/1/1976,10.3
3/1/1976,11.15
4/1/1976,11.8
5/1/1976,13
6/1/1976,12.5
7/1/1976,13.12
8/1/1976,13.92
9/1/1976,14.7
10/1/1976,15.64
11/1/1976,16.59
12/1/1976,17.42
1/1/1977,18.48
2/1/1977,19.58
3/1/1977,18.4
4/1/1977,18.97
5/1/1977,19.82
6/1/1977,20.59
7/1/1977,21.29
8/1/1977,23.44
9/1/1977,24.25
10/1/1977,25.16
11/1/1977,26.17
12/1/1977,27.96
1/1/1978,28.76
2/1/1978,29.48
3/1/1978,30.22
4/1/1978,30.98
5/1/1978,31.6
6/1/1978,32.06
7/1/1978,32.54
8/1/1978,32.89
9/1/1978,33.21
10/1/1978,33.46
11/1/1978,33.71
12/1/1978,33.95
1/1/1979,34.46
2/1/1979,34.98
3/1/1979,35.5
4/1/1979,36.03
5/1/1979,36.47
6/1/1979,39
7/1/1979,39
8/1/1979,39
9/1/1979,39
10/1/1979,39
11/1/1979,39
12/1/1979,39
1/1/1980,39
2/1/1980,39
3/1/1980,39
4/1/1980,39
5/1/1980,39
6/1/1980,39
7/1/1980,39
8/1/1980,39
9/1/1980,39
10/1/1980,39
11/1/1980,39
12/1/1980,39
1/1/1981,39
2/1/1981,39
3/1/1981,39
4/1/1981,39
5/1/1981,39
6/1/1981,39
7/1/1981,39
8/1/1981,39
9/1/1981,39
10/1/1981,39
11/1/1981,39
12/1/1981,39
1/1/1982,39
2/1/1982,39
3/1/1982,39
4/1/1982,39
5/1/1982,39
6/1/1982,46.46
7/1/1982,46.84
8/1/1982,50.36
9/1/1982,51.78
10/1/1982,53.86
11/1/1982,56.34
12/1/1982,58.47
1/1/1983,59.52
2/1/1983,60.46
3/1/1983,60.85
4/1/1983,61.67
5/1/1983,63.34
6/1/1983,64.51
7/1/1983,65.51
8/1/1983,66.7
9/1/1983,68.32
10/1/1983,69.99
11/1/1983,71.64
12/1/1983,72.81
1/1/1984,73.4
2/1/1984,73.57
3/1/1984,73.49
4/1/1984,74.73
5/1/1984,76.09
6/1/1984,77.06
7/1/1984,78.04
8/1/1984,78.84
9/1/1984,79.21
10/1/1984,80.9
11/1/1984,86.21
12/1/1984,89.02
1/1/1985,90.21
2/1/1985,92.47
3/1/1985,94.71
4/1/1985,97.11
5/1/1985,99.51
6/1/1985,101.57
7/1/1985,171.96
8/1/1985,174.04
9/1/1985,175.27
10/1/1985,176.68
11/1/1985,178.25
12/1/1985,183.66
1/1/1986,185.6
2/1/1986,188.21
3/1/1986,190
4/1/1986,188.26
5/1/1986,188.05
6/1/1986,192.18
7/1/1986,192.55
8/1/1986,197.63
9/1/1986,198.82
10/1/1986,200.83
11/1/1986,202.96
12/1/1986,205
1/1/1987,206.29
2/1/1987,205.39
3/1/1987,212.54
4/1/1987,212.28
5/1/1987,214.8
6/1/1987,222.16
7/1/1987,224.64
8/1/1987,225.44
9/1/1987,225.35
10/1/1987,232.6
11/1/1987,235.15
12/1/1987,238.11
1/1/1988,241.15
2/1/1988,240.94
3/1/1988,244.33
4/1/1988,243.96
5/1/1988,248.07
6/1/1988,250.79
7/1/1988,244.74
8/1/1988,245.82
9/1/1988,246.38
10/1/1988,247.77
11/1/1988,245.47
12/1/1988,247.49
1/1/1989,245.9
2/1/1989,246.01
3/1/1989,254.71
4/1/1989,252.26
5/1/1989,254.49
6/1/1989,269.52
7/1/1989,274.7
8/1/1989,278.54
9/1/1989,281.02
10/1/1989,285.31
11/1/1989,291.38
12/1/1989,296.58
1/1/1990,295.4
2/1/1990,295.48
3/1/1990,297.64
4/1/1990,297.14
5/1/1990,297.11
6/1/1990,297.27
7/1/1990,298.2
8/1/1990,304.21
9/1/1990,307.31
10/1/1990,319.19
11/1/1990,331.19
12/1/1990,336.86
1/1/1991,337.38
2/1/1991,337.67
3/1/1991,344.38
4/1/1991,338.9
5/1/1991,341.95
6/1/1991,347.76
7/1/1991,348.23
8/1/1991,353.16
9/1/1991,357.15
10/1/1991,360.46
11/1/1991,368.33
12/1/1991,374.87
1/1/1992,353.8
2/1/1992,347.3
3/1/1992,349.53
4/1/1992,346.78
5/1/1992,347.69
6/1/1992,359.88
7/1/1992,364.17
8/1/1992,374.9
9/1/1992,375.92
10/1/1992,373.38
11/1/1992,381.3
12/1/1992,382.33
1/1/1993,384.82
2/1/1993,390.84
3/1/1993,401.06
4/1/1993,404.5
5/1/1993,405.27
6/1/1993,404.02
7/1/1993,404.07
8/1/1993,409.2
9/1/1993,410.13
10/1/1993,411.86
11/1/1993,420.33
12/1/1993,431.04
1/1/1994,430.65
2/1/1994,429.47
3/1/1994,427
4/1/1994,427
5/1/1994,422.66
6/1/1994,418.94
7/1/1994,422.84
8/1/1994,418.89
9/1/1994,412.2
10/1/1994,409.68
11/1/1994,416.43
12/1/1994,404.09
1/1/1995,409.87
2/1/1995,410.73
3/1/1995,405.22
4/1/1995,388.2
5/1/1995,376.34
6/1/1995,374.48
7/1/1995,383.93
8/1/1995,395.53
9/1/1995,396.74
10/1/1995,416.08
11/1/1995,414.23
12/1/1995,407.13
1/1/1996,412.76
2/1/1996,412.53
3/1/1996,411.64
4/1/1996,406.81
5/1/1996,407.72
6/1/1996,409.68
7/1/1996,410.73
8/1/1996,410.79
9/1/1996,412.98
10/1/1996,420.64
11/1/1996,420.63
12/1/1996,424.97
1/1/1997,419.5
2/1/1997,412.51
3/1/1997,414.79
4/1/1997,418.88
5/1/1997,419.03
6/1/1997,416.47
7/1/1997,416.78
8/1/1997,414.73
9/1/1997,415.2
10/1/1997,420.87
11/1/1997,435.41
12/1/1997,439.81
1/1/1998,451.8
2/1/1998,452.67
3/1/1998,454.18
4/1/1998,452.81
5/1/1998,454.58
6/1/1998,465.22
7/1/1998,465.21
8/1/1998,474.38
9/1/1998,466.38
10/1/1998,462.49
11/1/1998,466.22
12/1/1998,473.77
1/1/1999,483.25
2/1/1999,498.74
3/1/1999,483.83
4/1/1999,486.3
5/1/1999,493.26
6/1/1999,518.9
7/1/1999,515.97
8/1/1999,516.98
9/1/1999,531.11
10/1/1999,548.51
11/1/1999,546.79
12/1/1999,530.07
1/1/2000,517.89
2/1/2000,503.98
3/1/2000,505.81
4/1/2000,515.61
5/1/2000,524.77
6/1/2000,538.61
7/1/2000,556.38
8/1/2000,556.44
9/1/2000,565.37
10/1/2000,571.94
11/1/2000,580.37
12/1/2000,572.68
1/1/2001,563.62
2/1/2001,567.21
3/1/2001,592.91
4/1/2001,599.89
5/1/2001,610.53
6/1/2001,626.65
7/1/2001,664.38
8/1/2001,660.57
9/1/2001,696.23
10/1/2001,716.62
11/1/2001,681.9
12/1/2001,656.2
1/1/2002,678.19
2/1/2002,675.3
3/1/2002,664.44
4/1/2002,649.09
5/1/2002,654.44
6/1/2002,697.62
7/1/2002,700.98
8/1/2002,715.16
9/1/2002,747.62
10/1/2002,733.24
11/1/2002,705.1
12/1/2002,712.38
1/1/2003,734.34
