DATE,m1 money supply
1/1/1982,2.46151E+11
2/1/1982,2.52645E+11
3/1/1982,2.52796E+11
4/1/1982,2.59869E+11
5/1/1982,2.6503E+11
6/1/1982,2.7238E+11
7/1/1982,2.78874E+11
8/1/1982,2.77066E+11
9/1/1982,2.80661E+11
10/1/1982,2.84166E+11
11/1/1982,2.84421E+11
12/1/1982,2.845E+11
1/1/1983,2.94376E+11
2/1/1983,2.97035E+11
3/1/1983,2.93596E+11
4/1/1983,3.04296E+11
5/1/1983,3.09685E+11
6/1/1983,3.13621E+11
7/1/1983,3.22147E+11
8/1/1983,3.24987E+11
9/1/1983,3.31221E+11
10/1/1983,3.53377E+11
11/1/1983,3.49836E+11
12/1/1983,3.59893E+11
1/1/1984,3.58065E+11
2/1/1984,3.58991E+11
3/1/1984,3.67537E+11
4/1/1984,3.73113E+11
5/1/1984,3.74499E+11
6/1/1984,3.85991E+11
7/1/1984,3.94579E+11
8/1/1984,4.05467E+11
9/1/1984,4.1959E+11
10/1/1984,4.17103E+11
11/1/1984,4.22312E+11
12/1/1984,4.38839E+11
1/1/1985,4.39133E+11
2/1/1985,4.41359E+11
3/1/1985,4.52175E+11
4/1/1985,4.52095E+11
5/1/1985,4.64052E+11
6/1/1985,4.71827E+11
7/1/1985,4.83475E+11
8/1/1985,4.99359E+11
9/1/1985,5.13275E+11
10/1/1985,5.25908E+11
11/1/1985,5.4381E+11
12/1/1985,5.62957E+11
1/1/1986,5.73851E+11
2/1/1986,5.96365E+11
3/1/1986,6.03655E+11
4/1/1986,6.18806E+11
5/1/1986,6.36992E+11
6/1/1986,6.48936E+11
7/1/1986,6.59955E+11
8/1/1986,6.8198E+11
9/1/1986,6.80919E+11
10/1/1986,6.92913E+11
11/1/1986,7.10724E+11
12/1/1986,6.90691E+11
1/1/1987,7.34843E+11
2/1/1987,7.53412E+11
3/1/1987,7.66243E+11
4/1/1987,7.9406E+11
5/1/1987,8.14864E+11
6/1/1987,8.2349E+11
7/1/1987,8.53899E+11
8/1/1987,8.64852E+11
9/1/1987,8.86863E+11
10/1/1987,9.11397E+11
11/1/1987,9.16165E+11
12/1/1987,9.21838E+11
1/1/1988,9.78634E+11
2/1/1988,9.79515E+11
3/1/1988,9.89859E+11
4/1/1988,1.00493E+12
5/1/1988,1.01262E+12
6/1/1988,1.05286E+12
7/1/1988,1.06239E+12
8/1/1988,1.07642E+12
9/1/1988,1.10755E+12
10/1/1988,1.12573E+12
11/1/1988,1.21126E+12
12/1/1988,1.16229E+12
1/1/1989,1.18793E+12
2/1/1989,1.21162E+12
3/1/1989,1.24299E+12
4/1/1989,1.24971E+12
5/1/1989,1.30311E+12
6/1/1989,1.33635E+12
7/1/1989,1.35118E+12
8/1/1989,1.3796E+12
9/1/1989,1.3949E+12
10/1/1989,1.39933E+12
11/1/1989,1.47638E+12
12/1/1989,1.4998E+12
1/1/1990,1.534E+12
2/1/1990,1.57373E+12
3/1/1990,1.59568E+12
4/1/1990,1.63751E+12
5/1/1990,1.65361E+12
6/1/1990,1.67849E+12
7/1/1990,1.71334E+12
8/1/1990,1.77872E+12
9/1/1990,1.80245E+12
10/1/1990,1.84714E+12
11/1/1990,1.86417E+12
12/1/1990,1.87729E+12
1/1/1991,1.93345E+12
2/1/1991,1.93021E+12
3/1/1991,1.97482E+12
4/1/1991,1.99904E+12
5/1/1991,2.13735E+12
6/1/1991,2.10467E+12
7/1/1991,2.14535E+12
8/1/1991,2.1851E+12
9/1/1991,2.33533E+12
10/1/1991,2.38538E+12
11/1/1991,2.46435E+12
12/1/1991,2.46851E+12
1/1/1992,2.49569E+12
2/1/1992,2.57283E+12
3/1/1992,2.64943E+12
4/1/1992,2.90567E+12
5/1/1992,2.96068E+12
6/1/1992,3.02964E+12
7/1/1992,3.05279E+12
8/1/1992,3.09279E+12
9/1/1992,3.16048E+12
10/1/1992,3.24676E+12
11/1/1992,3.31504E+12
12/1/1992,3.47105E+12
1/1/1993,3.47039E+12
2/1/1993,3.48981E+12
3/1/1993,3.55287E+12
4/1/1993,3.78274E+12
5/1/1993,3.89104E+12
6/1/1993,3.95124E+12
7/1/1993,4.08695E+12
8/1/1993,4.16902E+12
9/1/1993,4.30993E+12
10/1/1993,4.36383E+12
11/1/1993,4.43973E+12
12/1/1993,4.49556E+12
1/1/1994,4.64216E+12
2/1/1994,4.81027E+12
3/1/1994,4.88243E+12
4/1/1994,5.00171E+12
5/1/1994,5.11217E+12
6/1/1994,5.14528E+12
7/1/1994,5.41386E+12
8/1/1994,5.53575E+12
9/1/1994,5.59848E+12
10/1/1994,5.70075E+12
11/1/1994,5.79933E+12
12/1/1994,5.60611E+12
1/1/1995,5.70207E+12
2/1/1995,5.72848E+12
3/1/1995,5.84699E+12
4/1/1995,5.95724E+12
5/1/1995,5.9633E+12
6/1/1995,6.05828E+12
7/1/1995,6.3277E+12
8/1/1995,6.26088E+12
9/1/1995,6.32635E+12
10/1/1995,6.41699E+12
11/1/1995,6.643E+12
12/1/1995,6.70846E+12
1/1/1996,6.49322E+12
2/1/1996,6.65648E+12
3/1/1996,6.98669E+12
4/1/1996,6.84257E+12
5/1/1996,6.84268E+12
6/1/1996,6.98732E+12
7/1/1996,6.92192E+12
8/1/1996,6.92933E+12
9/1/1996,7.28374E+12
10/1/1996,7.28508E+12
11/1/1996,7.25103E+12
12/1/1996,7.78825E+12
1/1/1997,7.40333E+12
2/1/1997,7.63065E+12
3/1/1997,8.02182E+12
4/1/1997,8.25157E+12
5/1/1997,8.3287E+12
6/1/1997,8.55293E+12
7/1/1997,8.53145E+12
8/1/1997,8.58188E+12
9/1/1997,8.75467E+12
10/1/1997,9.04062E+12
11/1/1997,9.27388E+12
12/1/1997,9.45783E+12
1/1/1998,9.0793E+12
2/1/1998,8.9726E+12
3/1/1998,9.03142E+12
4/1/1998,8.92025E+12
5/1/1998,9.07118E+12
6/1/1998,8.75086E+12
7/1/1998,8.71307E+12
8/1/1998,8.97156E+12
9/1/1998,8.82256E+12
10/1/1998,8.74735E+12
11/1/1998,8.88467E+12
12/1/1998,9.08547E+12
1/1/1999,8.92775E+12
2/1/1999,8.85963E+12
3/1/1999,8.86155E+12
4/1/1999,9.04046E+12
5/1/1999,9.31126E+12
6/1/1999,9.30995E+12
7/1/1999,9.61323E+12
8/1/1999,9.72398E+12
9/1/1999,9.78601E+12
10/1/1999,9.78187E+12
11/1/1999,9.68495E+12
12/1/1999,1.10508E+13
1/1/2000,1.12554E+13
2/1/2000,1.16525E+13
3/1/2000,1.19392E+13
4/1/2000,1.21072E+13
5/1/2000,1.25978E+13
6/1/2000,1.25276E+13
7/1/2000,1.29265E+13
8/1/2000,1.30584E+13
9/1/2000,1.31731E+13
10/1/2000,1.3229E+13
11/1/2000,1.39678E+13
12/1/2000,1.44167E+13
1/1/2001,1.38874E+13
2/1/2001,1.38492E+13
3/1/2001,1.40038E+13
4/1/2001,1.38832E+13
5/1/2001,1.39134E+13
6/1/2001,1.39361E+13
7/1/2001,1.38231E+13
8/1/2001,1.39029E+13
9/1/2001,1.42081E+13
10/1/2001,1.46447E+13
11/1/2001,1.50046E+13
12/1/2001,1.61285E+13
1/1/2002,1.51041E+13
2/1/2002,1.61983E+13
3/1/2002,1.57464E+13
4/1/2002,1.63389E+13
5/1/2002,1.66087E+13
6/1/2002,1.70974E+13
7/1/2002,1.75275E+13
8/1/2002,1.7922E+13
9/1/2002,1.79724E+13
10/1/2002,1.84827E+13
11/1/2002,1.81885E+13
12/1/2002,1.85762E+13
1/1/2003,1.874E+13
2/1/2003,1.89316E+13
3/1/2003,1.89978E+13
4/1/2003,1.92848E+13
5/1/2003,1.88242E+13
6/1/2003,1.94404E+13
7/1/2003,2.00517E+13
8/1/2003,2.02131E+13
9/1/2003,2.06409E+13
10/1/2003,2.09895E+13
11/1/2003,2.12758E+13
12/1/2003,2.13329E+13
1/1/2004,2.18493E+13
2/1/2004,2.21416E+13
3/1/2004,2.26771E+13
4/1/2004,2.16571E+13
5/1/2004,2.21112E+13
6/1/2004,2.28386E+13
7/1/2004,2.24188E+13
8/1/2004,2.27977E+13
9/1/2004,2.36939E+13
10/1/2004,2.36091E+13
11/1/2004,2.40233E+13
12/1/2004,2.48888E+13
1/1/2005,2.50193E+13
2/1/2005,2.54116E+13
3/1/2005,2.60112E+13
4/1/2005,2.60326E+13
5/1/2005,2.63364E+13
6/1/2005,2.73193E+13
7/1/2005,2.65487E+13
8/1/2005,2.80005E+13
9/1/2005,2.75281E+13
10/1/2005,2.80345E+13
11/1/2005,3.0153E+13
12/1/2005,2.92896E+13
1/1/2006,2.97012E+13
2/1/2006,2.98022E+13
3/1/2006,3.02287E+13
4/1/2006,3.06139E+13
5/1/2006,3.26003E+13
6/1/2006,3.28305E+13
7/1/2006,3.33036E+13
8/1/2006,3.52837E+13
9/1/2006,3.40774E+13
10/1/2006,3.45444E+13
11/1/2006,3.5451E+13
12/1/2006,3.46556E+13
1/1/2007,3.53043E+13
2/1/2007,3.58862E+13
3/1/2007,3.57424E+13
4/1/2007,3.66298E+13
5/1/2007,3.73241E+13
6/1/2007,3.61146E+13
7/1/2007,3.6544E+13
8/1/2007,3.67444E+13
9/1/2007,3.83467E+13
10/1/2007,4.00326E+13
11/1/2007,3.83606E+13
12/1/2007,3.89083E+13
1/1/2008,3.88482E+13
2/1/2008,3.85492E+13
