DATE,exchange rate
1/1/1960,0.0125
2/1/1960,0.0125
3/1/1960,0.0125
4/1/1960,0.0125
5/1/1960,0.0125
6/1/1960,0.0125
7/1/1960,0.0125
8/1/1960,0.0125
9/1/1960,0.0125
10/1/1960,0.0125
11/1/1960,0.0125
12/1/1960,0.0125
1/1/1961,0.0125
2/1/1961,0.0125
3/1/1961,0.0125
4/1/1961,0.0125
5/1/1961,0.0125
6/1/1961,0.0125
7/1/1961,0.0125
8/1/1961,0.0125
9/1/1961,0.0125
10/1/1961,0.0125
11/1/1961,0.0125
12/1/1961,0.0125
1/1/1962,0.0125
2/1/1962,0.0125
3/1/1962,0.0125
4/1/1962,0.0125
5/1/1962,0.0125
6/1/1962,0.0125
7/1/1962,0.0125
8/1/1962,0.0125
9/1/1962,0.0125
10/1/1962,0.0125
11/1/1962,0.0125
12/1/1962,0.0125
1/1/1963,0.0125
2/1/1963,0.0125
3/1/1963,0.0125
4/1/1963,0.0125
5/1/1963,0.0125
6/1/1963,0.0125
7/1/1963,0.0125
8/1/1963,0.0125
9/1/1963,0.0125
10/1/1963,0.0125
11/1/1963,0.0125
12/1/1963,0.0125
1/1/1964,0.0125
2/1/1964,0.0125
3/1/1964,0.0125
4/1/1964,0.0125
5/1/1964,0.0125
6/1/1964,0.0125
7/1/1964,0.0125
8/1/1964,0.0125
9/1/1964,0.0125
10/1/1964,0.0125
11/1/1964,0.0125
12/1/1964,0.0125
1/1/1965,0.0125
2/1/1965,0.0125
3/1/1965,0.0125
4/1/1965,0.0125
5/1/1965,0.0125
6/1/1965,0.0125
7/1/1965,0.0125
8/1/1965,0.0125
9/1/1965,0.0125
10/1/1965,0.0125
11/1/1965,0.0125
12/1/1965,0.0125
1/1/1966,0.0125
2/1/1966,0.0125
3/1/1966,0.0125
4/1/1966,0.0125
5/1/1966,0.0125
6/1/1966,0.0125
7/1/1966,0.0125
8/1/1966,0.0125
9/1/1966,0.0125
10/1/1966,0.0125
11/1/1966,0.0125
12/1/1966,0.0125
1/1/1967,0.0125
2/1/1967,0.0125
3/1/1967,0.0125
4/1/1967,0.0125
5/1/1967,0.0125
6/1/1967,0.0125
7/1/1967,0.0125
8/1/1967,0.0125
9/1/1967,0.0125
10/1/1967,0.0125
11/1/1967,0.0125
12/1/1967,0.0125
1/1/1968,0.0125
2/1/1968,0.0125
3/1/1968,0.0125
4/1/1968,0.0125
5/1/1968,0.0125
6/1/1968,0.0125
7/1/1968,0.0125
8/1/1968,0.0125
9/1/1968,0.0125
10/1/1968,0.0125
11/1/1968,0.0125
12/1/1968,0.0125
1/1/1969,0.0125
2/1/1969,0.0125
3/1/1969,0.0125
4/1/1969,0.0125
5/1/1969,0.0125
6/1/1969,0.0125
7/1/1969,0.0125
8/1/1969,0.0125
9/1/1969,0.0125
10/1/1969,0.0125
11/1/1969,0.0125
12/1/1969,0.0125
1/1/1970,0.0125
2/1/1970,0.0125
3/1/1970,0.0125
4/1/1970,0.0125
5/1/1970,0.0125
6/1/1970,0.0125
7/1/1970,0.0125
8/1/1970,0.0125
9/1/1970,0.0125
10/1/1970,0.0125
11/1/1970,0.0125
12/1/1970,0.0125
1/1/1971,0.0125
2/1/1971,0.0125
3/1/1971,0.0125
4/1/1971,0.0125
5/1/1971,0.0125
6/1/1971,0.0125
7/1/1971,0.0125
8/1/1971,0.0125
9/1/1971,0.0125
10/1/1971,0.0125
11/1/1971,0.0125
12/1/1971,0.0125
1/1/1972,0.0125
2/1/1972,0.0125
3/1/1972,0.0125
4/1/1972,0.0125
5/1/1972,0.0125
6/1/1972,0.0125
7/1/1972,0.0125
8/1/1972,0.0125
9/1/1972,0.0125
10/1/1972,0.0125
11/1/1972,0.0125
12/1/1972,0.0125
1/1/1973,0.0125
2/1/1973,0.0125
3/1/1973,0.0125
4/1/1973,0.0125
5/1/1973,0.0125
6/1/1973,0.0125
7/1/1973,0.0125
8/1/1973,0.0125
9/1/1973,0.0125
10/1/1973,0.0125
11/1/1973,0.0125
12/1/1973,0.0125
1/1/1974,0.0125
2/1/1974,0.0125
3/1/1974,0.0125
4/1/1974,0.0125
5/1/1974,0.0125
6/1/1974,0.0125
7/1/1974,0.0125
8/1/1974,0.0125
9/1/1974,0.0125
10/1/1974,0.0125
11/1/1974,0.0125
12/1/1974,0.0125
1/1/1975,0.0125
2/1/1975,0.0125
3/1/1975,0.0125
4/1/1975,0.0125
5/1/1975,0.0125
6/1/1975,0.0125
7/1/1975,0.0125
8/1/1975,0.0125
9/1/1975,0.0125
10/1/1975,0.0125
11/1/1975,0.0125
12/1/1975,0.0125
1/1/1976,0.012495
2/1/1976,0.012495
3/1/1976,0.012495
4/1/1976,0.012495
5/1/1976,0.012495
6/1/1976,0.012495
7/1/1976,0.012495
8/1/1976,0.012495
9/1/1976,0.0200375
10/1/1976,0.02070825
11/1/1976,0.0243
12/1/1976,0.02024475
1/1/1977,0.020742618
2/1/1977,0.02254125
3/1/1977,0.022619319
4/1/1977,0.02256579
5/1/1977,0.022652381
6/1/1977,0.0228
7/1/1977,0.022846667
8/1/1977,0.02279913
9/1/1977,0.022774
10/1/1977,0.022749001
11/1/1977,0.022740001
12/1/1977,0.022740001
1/1/1978,0.022740001
2/1/1978,0.022740001
3/1/1978,0.022740001
4/1/1978,0.022740001
5/1/1978,0.022727619
6/1/1978,0.02273
7/1/1978,0.02274381
8/1/1978,0.022740001
9/1/1978,0.022712999
10/1/1978,0.022709999
11/1/1978,0.022709999
12/1/1978,0.022709999
1/1/1979,0.022709999
2/1/1979,0.022711052
3/1/1979,0.022736667
4/1/1979,0.02275
5/1/1979,0.02275
6/1/1979,0.02275
7/1/1979,0.02275
8/1/1979,0.02275
9/1/1979,0.02275
10/1/1979,0.022755455
11/1/1979,0.022770001
12/1/1979,0.022770001
1/1/1980,0.022770001
