DATE,interest rate  (gov securities/treasury bills)
10/1/1986,107.8714826
11/1/1986,105.0463011
12/1/1986,106.4992516
1/1/1987,105.7324167
2/1/1987,105.9039455
3/1/1987,102.7054365
4/1/1987,100.4553813
5/1/1987,99.37575833
6/1/1987,99.2445892
7/1/1987,98.20532601
8/1/1987,96.81291514
9/1/1987,96.32859832
10/1/1987,97.29723197
11/1/1987,111.6652977
12/1/1987,134.2364797
1/1/1988,157.07
2/1/1988,153.52
3/1/1988,96.48
4/1/1988,63.5
5/1/1988,53.12
6/1/1988,40.41
7/1/1988,40.32
8/1/1988,41.34
9/1/1988,41.84
10/1/1988,44.51
11/1/1988,50
12/1/1988,52.3
1/1/1989,50.78
2/1/1989,49.15
3/1/1989,47.79
4/1/1989,50.09
5/1/1989,51.83
6/1/1989,56.68
7/1/1989,47.03
8/1/1989,34.76
9/1/1989,34.35
10/1/1989,37.92
11/1/1989,38.99
12/1/1989,40.55
1/1/1990,41.29
2/1/1990,45.2
3/1/1990,46.65
4/1/1990,44.64
5/1/1990,36.92
6/1/1990,32.38
7/1/1990,30.66
8/1/1990,29.72
9/1/1990,30.14
10/1/1990,28.7
11/1/1990,24.82
12/1/1990,25.99
1/1/1991,23.64
2/1/1991,23.15
3/1/1991,22.04
4/1/1991,21.12
5/1/1991,19.77
6/1/1991,17.74
7/1/1991,18.47
8/1/1991,16.71
9/1/1991,17.55
10/1/1991,17.87
11/1/1991,16.62
12/1/1991,16.65
1/1/1992,15.31
2/1/1992,14.56
3/1/1992,11.84
4/1/1992,12.44
5/1/1992,13.6
6/1/1992,15.03
7/1/1992,16.23
8/1/1992,16.49
9/1/1992,17.54
10/1/1992,19.39
11/1/1992,18.15
12/1/1992,16.88
1/1/1993,16.72
2/1/1993,17.74
3/1/1993,17.47
4/1/1993,16.17
5/1/1993,15.04
6/1/1993,15.5
7/1/1993,13.85
8/1/1993,13.68
9/1/1993,13.71
10/1/1993,13.13
11/1/1993,14.38
12/1/1993,11.78
1/1/1994,10.52
2/1/1994,9.45
3/1/1994,9.73
4/1/1994,15.79
5/1/1994,16.36
6/1/1994,16.18
7/1/1994,17.07
8/1/1994,14.46
9/1/1994,13.76
10/1/1994,13.6
11/1/1994,13.74
12/1/1994,18.51
1/1/1995,37.25
2/1/1995,41.69
3/1/1995,69.54
4/1/1995,74.75
5/1/1995,59.17
6/1/1995,47.25
7/1/1995,40.94
8/1/1995,35.14
9/1/1995,33.46
10/1/1995,40.29
11/1/1995,53.16
12/1/1995,48.62
1/1/1996,40.99
2/1/1996,38.58
3/1/1996,41.45
4/1/1996,35.21
5/1/1996,28.45
6/1/1996,27.81
7/1/1996,31.25
8/1/1996,26.51
9/1/1996,23.9
10/1/1996,25.75
11/1/1996,29.57
12/1/1996,27.23
1/1/1997,23.55
2/1/1997,19.8
3/1/1997,21.66
4/1/1997,21.35
5/1/1997,18.42
6/1/1997,20.17
7/1/1997,18.8
8/1/1997,18.93
9/1/1997,18.02
10/1/1997,17.92
11/1/1997,20.16
12/1/1997,18.85
1/1/1998,17.95
2/1/1998,18.74
3/1/1998,19.85
4/1/1998,19.03
5/1/1998,17.91
6/1/1998,19.5
7/1/1998,20.08
8/1/1998,22.64
9/1/1998,40.8
10/1/1998,34.86
11/1/1998,32.12
12/1/1998,33.66
1/1/1999,32.13
2/1/1999,28.76
3/1/1999,23.47
4/1/1999,20.29
5/1/1999,19.89
6/1/1999,21.08
7/1/1999,19.78
8/1/1999,20.54
9/1/1999,19.71
10/1/1999,17.87
11/1/1999,16.96
12/1/1999,16.45
1/1/2000,16.19
2/1/2000,15.81
3/1/2000,13.66
4/1/2000,12.93
5/1/2000,14.18
6/1/2000,15.65
7/1/2000,13.73
8/1/2000,15.23
9/1/2000,15.06
10/1/2000,15.88
11/1/2000,17.56
12/1/2000,17.05
1/1/2001,17.89
2/1/2001,17.34
3/1/2001,15.8
4/1/2001,14.96
5/1/2001,11.95
6/1/2001,9.43
7/1/2001,9.39
8/1/2001,7.51
9/1/2001,9.32
10/1/2001,8.36
11/1/2001,7.43
12/1/2001,6.29
1/1/2002,6.97
2/1/2002,7.91
3/1/2002,7.23
4/1/2002,5.76
5/1/2002,6.61
6/1/2002,7.3
7/1/2002,7.38
8/1/2002,6.68
9/1/2002,7.34
10/1/2002,7.66
11/1/2002,7.3
12/1/2002,6.88
1/1/2003,8.27
2/1/2003,9.04
3/1/2003,9.17
4/1/2003,7.86
5/1/2003,5.25
6/1/2003,5.2
7/1/2003,4.57
8/1/2003,4.45
9/1/2003,4.73
10/1/2003,5.11
11/1/2003,4.99
12/1/2003,6.06
1/1/2004,4.95
2/1/2004,5.57
3/1/2004,6.28
4/1/2004,5.98
5/1/2004,6.59
6/1/2004,6.57
7/1/2004,6.81
8/1/2004,7.21
9/1/2004,7.36
10/1/2004,7.76
11/1/2004,8.2
12/1/2004,8.5
1/1/2005,8.6
2/1/2005,9.15
3/1/2005,9.41
4/1/2005,9.63
5/1/2005,9.75
6/1/2005,9.63
7/1/2005,9.61
8/1/2005,9.6
9/1/2005,9.21
10/1/2005,8.91
11/1/2005,8.71
12/1/2005,8.22
1/1/2006,7.88
2/1/2006,7.61
3/1/2006,7.37
4/1/2006,7.17
5/1/2006,7.02
6/1/2006,7.02
7/1/2006,7.03
8/1/2006,7.03
9/1/2006,7.06
10/1/2006,7.05
11/1/2006,7.04
12/1/2006,7.04
1/1/2007,7.04
2/1/2007,7.04
3/1/2007,7.04
4/1/2007,7.01
5/1/2007,7.24
6/1/2007,7.2
7/1/2007,7.19
8/1/2007,7.2
9/1/2007,7.21
10/1/2007,7.2
11/1/2007,7.44
12/1/2007,7.44
1/1/2008,7.42
2/1/2008,7.43
3/1/2008,7.43
4/1/2008,7.44
5/1/2008,7.44
6/1/2008,7.56
7/1/2008,7.93
8/1/2008,8.18
9/1/2008,8.17
10/1/2008,7.74
11/1/2008,7.43
12/1/2008,8.02
1/1/2009,7.59
2/1/2009,7.12
3/1/2009,7.03
4/1/2009,6.05
5/1/2009,5.29
6/1/2009,4.98
