DATE,interest rate (90-day rates/yields)
1/1/1997,25.38
2/1/1997,23.54
3/1/1997,23.73
4/1/1997,23.97
5/1/1997,21.73
6/1/1997,22.41
7/1/1997,20.73
8/1/1997,21.27
9/1/1997,21.27
10/1/1997,20.47
11/1/1997,22.55
12/1/1997,20.48
1/1/1998,19.95
2/1/1998,20.67
3/1/1998,21.83
4/1/1998,20.44
5/1/1998,20.27
6/1/1998,21.79
7/1/1998,22.66
8/1/1998,27.2
9/1/1998,40.35
10/1/1998,38.69
11/1/1998,35.56
12/1/1998,36.29
1/1/1999,35.45
2/1/1999,31.35
3/1/1999,26.37
4/1/1999,22.99
5/1/1999,23.26
6/1/1999,23.77
7/1/1999,22.98
8/1/1999,24.36
9/1/1999,23.43
10/1/1999,22.41
11/1/1999,20.09
12/1/1999,19.06
1/1/2000,18.69
2/1/2000,18.12
3/1/2000,15.86
4/1/2000,15.1
5/1/2000,16.77
6/1/2000,17.73
7/1/2000,15.4
8/1/2000,16.84
9/1/2000,17.13
10/1/2000,17.99
11/1/2000,18.76
12/1/2000,18.39
1/1/2001,18.86
2/1/2001,18.36
3/1/2001,17.22
4/1/2001,16.31
5/1/2001,14.22
6/1/2001,11.9
7/1/2001,11.6
8/1/2001,10.22
9/1/2001,12.19
10/1/2001,11.16
11/1/2001,10.21
12/1/2001,8.87
1/1/2002,8.44
2/1/2002,9.06
3/1/2002,8.61
4/1/2002,7.12
5/1/2002,7.63
6/1/2002,8.65
7/1/2002,8.73
8/1/2002,7.95
9/1/2002,8.74
10/1/2002,9.1
11/1/2002,8.73
12/1/2002,8.64
1/1/2003,9.38
2/1/2003,9.85
3/1/2003,10.04
4/1/2003,8.7
5/1/2003,6.74
6/1/2003,6.19
7/1/2003,5.7
8/1/2003,5.54
9/1/2003,5.5
10/1/2003,5.93
11/1/2003,5.83
12/1/2003,6.57
1/1/2004,5.55
2/1/2004,6.07
3/1/2004,6.55
4/1/2004,6.37
5/1/2004,7.31
6/1/2004,7.59
7/1/2004,7.63
8/1/2004,7.84
9/1/2004,8.06
10/1/2004,8.46
11/1/2004,8.85
12/1/2004,9.03
1/1/2005,9.03
2/1/2005,9.59
3/1/2005,9.98
4/1/2005,10.22
5/1/2005,10.21
6/1/2005,10.01
7/1/2005,10.03
8/1/2005,10.03
9/1/2005,9.45
10/1/2005,9.25
11/1/2005,9.14
12/1/2005,8.64
1/1/2006,8.16
2/1/2006,7.93
3/1/2006,7.78
4/1/2006,7.72
5/1/2006,7.59
6/1/2006,7.68
7/1/2006,7.57
8/1/2006,7.48
9/1/2006,7.5
10/1/2006,7.65
11/1/2006,7.62
12/1/2006,7.6
1/1/2007,7.67
2/1/2007,7.67
3/1/2007,7.68
4/1/2007,7.61
5/1/2007,7.83
6/1/2007,7.82
7/1/2007,7.78
8/1/2007,7.79
9/1/2007,7.77
10/1/2007,7.78
11/1/2007,8.01
12/1/2007,8
1/1/2008,7.99
2/1/2008,7.93
3/1/2008,7.94
4/1/2008,7.96
5/1/2008,7.96
6/1/2008,8.1
7/1/2008,8.49
8/1/2008,8.71
9/1/2008,8.74
10/1/2008,8.76
11/1/2008,8.83
12/1/2008,8.82
1/1/2009,8.41
2/1/2009,7.86
3/1/2009,7.54
4/1/2009,6.5
5/1/2009,5.65
6/1/2009,5.18
7/1/2009,4.91
8/1/2009,4.95
9/1/2009,5
10/1/2009,5
11/1/2009,5.08
12/1/2009,5.07
1/1/2010,5.06
2/1/2010,5.03
3/1/2010,5.03
