DATE,hourly earnings (manufacturing)
1/1/1980,0.060356561
2/1/1980,0.06107978
3/1/1980,0.062575427
4/1/1980,0.063309858
5/1/1980,0.064611393
6/1/1980,0.066333452
7/1/1980,0.067929738
8/1/1980,0.069136234
9/1/1980,0.071831653
10/1/1980,0.073225478
11/1/1980,0.074997065
12/1/1980,0.077040847
1/1/1981,0.078823092
2/1/1981,0.080900289
3/1/1981,0.081639007
4/1/1981,0.085499942
5/1/1981,0.087691974
6/1/1981,0.089592451
7/1/1981,0.092202012
8/1/1981,0.093787924
9/1/1981,0.096498389
10/1/1981,0.098876788
11/1/1981,0.101686549
12/1/1981,0.104224079
1/1/1982,0.107267062
2/1/1982,0.110776433
3/1/1982,0.117227564
4/1/1982,0.135409313
5/1/1982,0.148997209
6/1/1982,0.144975379
7/1/1982,0.14527968
8/1/1982,0.154360808
9/1/1982,0.156251069
10/1/1982,0.162781796
11/1/1982,0.169312765
12/1/1982,0.164237973
1/1/1983,0.18133802
2/1/1983,0.188999562
3/1/1983,0.194074448
4/1/1983,0.197905747
5/1/1983,0.207903491
6/1/1983,0.215616306
7/1/1983,0.228143662
8/1/1983,0.2336765
9/1/1983,0.243654525
10/1/1983,0.252113491
11/1/1983,0.26069499
12/1/1983,0.249373311
1/1/1984,0.279662923
2/1/1984,0.28699227
3/1/1984,0.292759788
4/1/1984,0.31493116
5/1/1984,0.317292073
6/1/1984,0.331028443
7/1/1984,0.347064579
8/1/1984,0.362776941
9/1/1984,0.375649371
10/1/1984,0.386712224
11/1/1984,0.399090093
12/1/1984,0.415162049
1/1/1985,0.433510498
2/1/1985,0.453667234
3/1/1985,0.477597803
4/1/1985,0.484711876
5/1/1985,0.512845628
6/1/1985,0.527029108
7/1/1985,0.554002318
8/1/1985,0.572024664
9/1/1985,0.596934905
10/1/1985,0.621416805
11/1/1985,0.638402474
12/1/1985,0.670522507
1/1/1986,0.694771211
2/1/1986,0.729432465
3/1/1986,0.762993406
4/1/1986,0.806932958
5/1/1986,0.782004788
6/1/1986,0.901983511
7/1/1986,0.95242366
8/1/1986,1.016833101
9/1/1986,1.069026206
10/1/1986,1.079031693
11/1/1986,1.254314852
12/1/1986,1.316506878
1/1/1987,1.418110329
2/1/1987,1.505500375
3/1/1987,1.500628834
4/1/1987,1.724791634
5/1/1987,1.833722105
6/1/1987,1.949392126
7/1/1987,2.067618975
8/1/1987,2.339459756
9/1/1987,2.517683469
10/1/1987,2.88331505
11/1/1987,3.069553764
12/1/1987,3.259964056
