DATE,interest rates (90-day rates/yields)
7/1/1997,12.54
8/1/1997,13.77
9/1/1997,13.47
10/1/1997,14.82
11/1/1997,13.04
12/1/1997,10.63
1/1/1998,19.17
2/1/1998,18.23
3/1/1998,14.36
4/1/1998,15.72
5/1/1998,14.75
6/1/1998,14.86
7/1/1998,16.48
8/1/1998,18.65
9/1/1998,.
10/1/1998,18.78
11/1/1998,14.89
12/1/1998,13.49
1/1/1999,12.75
2/1/1999,10.04
3/1/1999,11.09
4/1/1999,13.59
5/1/1999,11.71
6/1/1999,9.28
7/1/1999,9.76
8/1/1999,9.93
9/1/1999,9.91
10/1/1999,10.68
11/1/1999,11.63
12/1/1999,11.09
1/1/2000,10.05
2/1/2000,12.17
3/1/2000,13.43
4/1/2000,11.76
5/1/2000,10.67
6/1/2000,9.72
7/1/2000,9.9
8/1/2000,9.37
9/1/2000,10.32
10/1/2000,11.5
11/1/2000,10.9
12/1/2000,9.3
1/1/2001,8.3
2/1/2001,8.06
3/1/2001,6.14
4/1/2001,8.62
5/1/2001,8.69
6/1/2001,6.74
7/1/2001,6.44
8/1/2001,7.07
9/1/2001,7.18
10/1/2001,6.61
11/1/2001,6.44
12/1/2001,6.51
1/1/2002,6
2/1/2002,5.56
3/1/2002,4.73
4/1/2002,4.39
5/1/2002,4.15
6/1/2002,4.03
7/1/2002,3.51
8/1/2002,2.96
9/1/2002,2.99
10/1/2002,3.03
11/1/2002,2.87
12/1/2002,2.88
1/1/2003,2.97
2/1/2003,2.94
3/1/2003,2.65
4/1/2003,2.48
5/1/2003,2.59
6/1/2003,2.78
7/1/2003,2.97
8/1/2003,2.94
9/1/2003,2.84
10/1/2003,2.75
11/1/2003,2.72
12/1/2003,2.58
1/1/2004,1.8
2/1/2004,1.58
3/1/2004,1.57
4/1/2004,1.49
5/1/2004,1.31
6/1/2004,1.53
7/1/2004,1.66
8/1/2004,1.68
9/1/2004,2.33
10/1/2004,2.35
11/1/2004,2.34
12/1/2004,2.32
1/1/2005,2.49
2/1/2005,2.95
3/1/2005,2.83
4/1/2005,2.92
5/1/2005,3.24
6/1/2005,2.85
7/1/2005,3.01
8/1/2005,3.83
9/1/2005,4.25
10/1/2005,4.52
11/1/2005,4.73
12/1/2005,4.75
1/1/2006,4.64
2/1/2006,4.39
3/1/2006,4.48
4/1/2006,4.5
5/1/2006,4.64
6/1/2006,4.82
7/1/2006,4.92
8/1/2006,5.2
9/1/2006,5.21
10/1/2006,4.95
11/1/2006,5.06
12/1/2006,5.1
1/1/2007,5.04
2/1/2007,4.84
3/1/2007,4.61
4/1/2007,4.75
5/1/2007,4.86
6/1/2007,4.75
7/1/2007,4.87
8/1/2007,5.45
9/1/2007,5.5
10/1/2007,5.41
11/1/2007,5.92
12/1/2007,6.15
1/1/2008,6.5
2/1/2008,6.6
3/1/2008,6.61
4/1/2008,6.61
5/1/2008,6.68
6/1/2008,7.32
7/1/2008,7.57
8/1/2008,.
9/1/2008,.
10/1/2008,.
11/1/2008,8.36
12/1/2008,8.18
1/1/2009,6.74
2/1/2009,4.43
3/1/2009,2.62
4/1/2009,1.89
5/1/2009,1.2
6/1/2009,1.08
7/1/2009,0.6
8/1/2009,0.46
9/1/2009,0.49
10/1/2009,0.49
11/1/2009,0.48
12/1/2009,0.48
1/1/2010,0.46
2/1/2010,0.49
3/1/2010,0.5
4/1/2010,.
5/1/2010,.
6/1/2010,1.44
7/1/2010,1.85
8/1/2010,2.47
9/1/2010,2.99
10/1/2010,3.21
11/1/2010,3.26
12/1/2010,3.4
1/1/2011,3.6
2/1/2011,3.88
3/1/2011,4.26
4/1/2011,5.01
5/1/2011,5.37
6/1/2011,5.55
7/1/2011,5.56
8/1/2011,5.35
9/1/2011,5.28
10/1/2011,5.14
11/1/2011,5.11
12/1/2011,.
1/1/2012,4.84
2/1/2012,4.98
3/1/2012,5.07
4/1/2012,5.05
5/1/2012,5.16
6/1/2012,.
7/1/2012,.
8/1/2012,.
9/1/2012,4.96
10/1/2012,.
11/1/2012,.
12/1/2012,.
1/1/2013,5.08
2/1/2013,.
3/1/2013,.
4/1/2013,5.03
5/1/2013,4.98
6/1/2013,4.91
7/1/2013,4.88
8/1/2013,.
9/1/2013,4.75
10/1/2013,.
11/1/2013,.
12/1/2013,.
1/1/2014,4.45
2/1/2014,4.19
3/1/2014,4.04
4/1/2014,3.72
5/1/2014,.
6/1/2014,3.95
7/1/2014,3.77
8/1/2014,.
9/1/2014,.
10/1/2014,.
11/1/2014,.
12/1/2014,.
1/1/2015,2.81
2/1/2015,3.08
3/1/2015,1.53
4/1/2015,3.03
5/1/2015,.
6/1/2015,2.85
7/1/2015,.
8/1/2015,.
9/1/2015,.
10/1/2015,.
11/1/2015,.
12/1/2015,.
1/1/2016,3.5
2/1/2016,3.62
3/1/2016,3.6
4/1/2016,3.5
5/1/2016,3.54
6/1/2016,3.52
7/1/2016,3.5
8/1/2016,3.48
9/1/2016,3.5
10/1/2016,3.48
11/1/2016,.
12/1/2016,.
1/1/2017,3.22
2/1/2017,.
3/1/2017,.
4/1/2017,2.72
5/1/2017,2.54
6/1/2017,2.49
7/1/2017,2.45
8/1/2017,2.47
9/1/2017,2.49
10/1/2017,2.5
11/1/2017,2.49
12/1/2017,.
1/1/2018,2.5
2/1/2018,2.52
3/1/2018,2.62
4/1/2018,2.62
5/1/2018,2.59
6/1/2018,2.63
7/1/2018,2.63
8/1/2018,2.63
9/1/2018,2.65
10/1/2018,2.77
