DATE,M1 Money Supply
1/1/1986,1.91849E+11
2/1/1986,1.99375E+11
3/1/1986,2.05317E+11
4/1/1986,2.1296E+11
5/1/1986,2.16236E+11
6/1/1986,2.29359E+11
7/1/1986,2.33123E+11
8/1/1986,2.39814E+11
9/1/1986,2.48858E+11
10/1/1986,2.53358E+11
11/1/1986,2.65483E+11
12/1/1986,2.69111E+11
1/1/1987,2.74211E+11
2/1/1987,2.74583E+11
3/1/1987,2.74979E+11
4/1/1987,2.84185E+11
5/1/1987,2.86874E+11
6/1/1987,2.95483E+11
7/1/1987,3.08943E+11
8/1/1987,3.00232E+11
9/1/1987,3.00554E+11
10/1/1987,3.07686E+11
11/1/1987,3.14978E+11
12/1/1987,3.2221E+11
1/1/1988,3.35892E+11
2/1/1988,3.53209E+11
3/1/1988,3.60235E+11
4/1/1988,3.64644E+11
5/1/1988,3.80897E+11
6/1/1988,3.94876E+11
7/1/1988,4.16666E+11
8/1/1988,4.38425E+11
9/1/1988,4.42716E+11
10/1/1988,4.61127E+11
11/1/1988,4.58543E+11
12/1/1988,4.64976E+11
1/1/1989,4.54632E+11
2/1/1989,4.66678E+11
3/1/1989,4.84611E+11
4/1/1989,4.7436E+11
5/1/1989,5.00864E+11
6/1/1989,4.99774E+11
7/1/1989,5.07719E+11
8/1/1989,5.17511E+11
9/1/1989,5.36106E+11
10/1/1989,5.29601E+11
11/1/1989,5.52522E+11
12/1/1989,5.71325E+11
1/1/1990,5.46553E+11
2/1/1990,5.3611E+11
3/1/1990,5.44959E+11
4/1/1990,5.64714E+11
5/1/1990,5.75381E+11
6/1/1990,5.80657E+11
7/1/1990,5.92924E+11
8/1/1990,5.95023E+11
9/1/1990,6.17469E+11
10/1/1990,5.96152E+11
11/1/1990,6.21579E+11
12/1/1990,6.71728E+11
1/1/1991,7.22882E+11
2/1/1991,7.56294E+11
3/1/1991,8.03635E+11
4/1/1991,8.08477E+11
5/1/1991,8.12479E+11
6/1/1991,8.16646E+11
7/1/1991,8.25364E+11
8/1/1991,8.55742E+11
9/1/1991,8.93413E+11
10/1/1991,9.19538E+11
11/1/1991,9.36708E+11
12/1/1991,9.56177E+11
1/1/1992,9.70626E+11
2/1/1992,1.00182E+12
3/1/1992,1.26165E+12
4/1/1992,1.24506E+12
5/1/1992,1.17353E+12
6/1/1992,1.19244E+12
7/1/1992,1.20383E+12
8/1/1992,1.23046E+12
9/1/1992,1.2152E+12
10/1/1992,1.20024E+12
11/1/1992,1.23276E+12
12/1/1992,1.23722E+12
1/1/1993,1.30598E+12
2/1/1993,1.35454E+12
3/1/1993,1.35394E+12
4/1/1993,1.38129E+12
5/1/1993,1.38969E+12
6/1/1993,1.39503E+12
7/1/1993,1.42025E+12
8/1/1993,1.43219E+12
9/1/1993,1.3985E+12
10/1/1993,1.45227E+12
11/1/1993,1.46372E+12
12/1/1993,1.50807E+12
1/1/1994,1.53756E+12
2/1/1994,1.54701E+12
3/1/1994,1.55712E+12
4/1/1994,1.55142E+12
5/1/1994,1.58853E+12
6/1/1994,1.61448E+12
7/1/1994,1.66263E+12
8/1/1994,1.69335E+12
9/1/1994,1.67606E+12
10/1/1994,1.76098E+12
11/1/1994,1.83343E+12
12/1/1994,1.84151E+12
1/1/1995,1.84602E+12
2/1/1995,1.89888E+12
3/1/1995,1.91764E+12
4/1/1995,1.93986E+12
5/1/1995,2.00631E+12
6/1/1995,2.03913E+12
7/1/1995,2.04643E+12
8/1/1995,2.0565E+12
9/1/1995,2.08325E+12
10/1/1995,2.13172E+12
11/1/1995,2.16313E+12
12/1/1995,2.1957E+12
1/1/1996,2.22318E+12
2/1/1996,2.23255E+12
3/1/1996,2.25374E+12
4/1/1996,2.28952E+12
5/1/1996,2.30018E+12
6/1/1996,2.33475E+12
7/1/1996,2.35186E+12
8/1/1996,2.40984E+12
9/1/1996,2.4298E+12
10/1/1996,2.45928E+12
11/1/1996,2.51512E+12
12/1/1996,2.4763E+12
1/1/1997,2.53811E+12
2/1/1997,2.55115E+12
3/1/1997,2.60346E+12
4/1/1997,2.64746E+12
5/1/1997,2.67799E+12
6/1/1997,2.75175E+12
7/1/1997,2.80996E+12
8/1/1997,2.83526E+12
9/1/1997,2.91806E+12
10/1/1997,2.89177E+12
11/1/1997,2.8816E+12
12/1/1997,2.97006E+12
1/1/1998,2.92463E+12
2/1/1998,2.83851E+12
3/1/1998,2.89619E+12
4/1/1998,2.93941E+12
5/1/1998,2.94456E+12
6/1/1998,2.97749E+12
7/1/1998,2.85061E+12
8/1/1998,2.81347E+12
9/1/1998,2.7565E+12
10/1/1998,2.72286E+12
11/1/1998,2.73456E+12
12/1/1998,2.72369E+12
1/1/1999,2.75758E+12
2/1/1999,2.83006E+12
3/1/1999,2.85835E+12
4/1/1999,2.84913E+12
5/1/1999,2.91681E+12
6/1/1999,2.97031E+12
7/1/1999,2.99032E+12
8/1/1999,2.99328E+12
9/1/1999,3.10228E+12
10/1/1999,3.15532E+12
11/1/1999,3.21781E+12
12/1/1999,3.27661E+12
1/1/2000,3.26192E+12
2/1/2000,3.23602E+12
3/1/2000,3.15971E+12
4/1/2000,3.13424E+12
5/1/2000,3.11269E+12
6/1/2000,3.13888E+12
7/1/2000,3.18606E+12
8/1/2000,3.25592E+12
9/1/2000,3.25309E+12
10/1/2000,3.27666E+12
11/1/2000,3.31068E+12
12/1/2000,3.37053E+12
1/1/2001,3.34315E+12
2/1/2001,3.3624E+12
3/1/2001,3.64399E+12
4/1/2001,3.65521E+12
5/1/2001,3.66696E+12
6/1/2001,3.70347E+12
7/1/2001,3.79201E+12
8/1/2001,3.75496E+12
9/1/2001,3.8453E+12
10/1/2001,3.88515E+12
11/1/2001,3.80332E+12
12/1/2001,3.85532E+12
1/1/2002,3.95836E+12
2/1/2002,3.95789E+12
3/1/2002,3.98186E+12
4/1/2002,3.97751E+12
5/1/2002,4.06868E+12
6/1/2002,4.14523E+12
7/1/2002,4.21144E+12
8/1/2002,4.37171E+12
9/1/2002,4.36256E+12
10/1/2002,4.43999E+12
11/1/2002,4.6301E+12
12/1/2002,4.50547E+12
1/1/2003,4.68209E+12
2/1/2003,4.76164E+12
3/1/2003,5.16897E+12
4/1/2003,5.02563E+12
5/1/2003,5.05184E+12
6/1/2003,5.02071E+12
7/1/2003,4.96349E+12
8/1/2003,4.99383E+12
9/1/2003,5.08237E+12
10/1/2003,5.09277E+12
11/1/2003,5.18705E+12
12/1/2003,5.31403E+12
1/1/2004,5.42988E+12
2/1/2004,5.49149E+12
3/1/2004,5.87437E+12
4/1/2004,5.62801E+12
5/1/2004,5.88754E+12
6/1/2004,6.05639E+12
7/1/2004,6.1936E+12
8/1/2004,6.30705E+12
9/1/2004,6.41925E+12
10/1/2004,6.64127E+12
11/1/2004,6.66569E+12
12/1/2004,6.59848E+12
1/1/2005,6.71397E+12
2/1/2005,6.75638E+12
3/1/2005,6.7592E+12
4/1/2005,6.81084E+12
5/1/2005,6.91154E+12
6/1/2005,6.86924E+12
7/1/2005,6.98867E+12
8/1/2005,6.99543E+12
9/1/2005,6.95213E+12
10/1/2005,7.07624E+12
11/1/2005,7.15769E+12
12/1/2005,7.34146E+12
1/1/2006,7.31153E+12
2/1/2006,7.43858E+12
3/1/2006,7.48919E+12
4/1/2006,7.563E+12
5/1/2006,7.58494E+12
6/1/2006,7.76875E+12
7/1/2006,7.80073E+12
8/1/2006,7.89225E+12
9/1/2006,8.02847E+12
10/1/2006,7.95972E+12
11/1/2006,8.10749E+12
12/1/2006,8.32044E+12
1/1/2007,8.51079E+12
2/1/2007,8.63063E+12
3/1/2007,8.75105E+12
4/1/2007,8.95035E+12
5/1/2007,8.9249E+12
6/1/2007,9.01069E+12
7/1/2007,9.25346E+12
8/1/2007,9.36939E+12
9/1/2007,9.49011E+12
10/1/2007,9.42091E+12
11/1/2007,9.8529E+12
12/1/2007,9.85071E+12
1/1/2008,9.90648E+12
2/1/2008,1.00646E+13
3/1/2008,1.00963E+13
4/1/2008,1.00774E+13
5/1/2008,1.02697E+13
6/1/2008,1.03718E+13
7/1/2008,1.00598E+13
8/1/2008,1.0311E+13
9/1/2008,1.02414E+13
10/1/2008,1.06415E+13
11/1/2008,1.05883E+13
12/1/2008,1.05401E+13
1/1/2009,1.04602E+13
2/1/2009,1.04757E+13
3/1/2009,1.06571E+13
4/1/2009,1.08821E+13
5/1/2009,1.11641E+13
6/1/2009,1.14544E+13
7/1/2009,1.17174E+13
8/1/2009,1.20296E+13
