DATE,exchange rate (real broad effective)
1/1/1994,458.81
2/1/1994,456.18
3/1/1994,451.24
4/1/1994,451.91
5/1/1994,448.76
6/1/1994,445.15
7/1/1994,447.71
8/1/1994,440.85
9/1/1994,434.99
10/1/1994,428.1
11/1/1994,426.61
12/1/1994,430.39
1/1/1995,431.5
2/1/1995,426.39
3/1/1995,420.93
4/1/1995,415.08
5/1/1995,411.45
6/1/1995,408.28
7/1/1995,408.49
8/1/1995,412.84
9/1/1995,415.38
10/1/1995,412.94
11/1/1995,411.95
12/1/1995,412.63
1/1/1996,413.54
2/1/1996,410.86
3/1/1996,408.05
4/1/1996,407.03
5/1/1996,406.67
6/1/1996,405.98
7/1/1996,406.14
8/1/1996,404.08
9/1/1996,405.6
10/1/1996,408.85
11/1/1996,406.44
12/1/1996,407.77
1/1/1997,411.77
2/1/1997,418.12
3/1/1997,417.94
4/1/1997,416.01
5/1/1997,414.12
6/1/1997,415.4
7/1/1997,420.1
8/1/1997,425.68
9/1/1997,423.04
10/1/1997,421.12
11/1/1997,421.57
12/1/1997,430.68
1/1/1998,438.82
2/1/1998,437.67
3/1/1998,436.46
4/1/1998,435
5/1/1998,433.67
6/1/1998,438.18
7/1/1998,440.86
8/1/1998,443.66
9/1/1998,438.11
10/1/1998,429.67
11/1/1998,431.21
12/1/1998,430.34
1/1/1999,459.49
2/1/1999,493.73
3/1/1999,490.84
4/1/1999,474.23
5/1/1999,471.07
6/1/1999,480.05
7/1/1999,482.54
8/1/1999,481.22
9/1/1999,479.83
10/1/1999,480.24
11/1/1999,478.55
12/1/1999,472.65
1/1/2000,471.63
2/1/2000,473.25
3/1/2000,466.92
4/1/2000,469.42
5/1/2000,479.37
6/1/2000,470.45
7/1/2000,471.05
8/1/2000,473.22
9/1/2000,477.4
10/1/2000,484.07
11/1/2000,486.27
12/1/2000,480.89
1/1/2001,475.37
2/1/2001,478
3/1/2001,487.08
4/1/2001,498.26
5/1/2001,504.22
6/1/2001,508.66
7/1/2001,511.75
8/1/2001,504.45
9/1/2001,509.56
10/1/2001,512.39
11/1/2001,502.81
12/1/2001,490.53
1/1/2002,503.19
2/1/2002,251.63
3/1/2002,214.16
4/1/2002,195.13
5/1/2002,181.66
6/1/2002,175.38
7/1/2002,184.1
8/1/2002,193.61
9/1/2002,197.86
10/1/2002,204.69
11/1/2002,205.38
12/1/2002,205.78
1/1/2003,216.78
2/1/2003,226.17
3/1/2003,229.67
4/1/2003,235.13
5/1/2003,231.37
6/1/2003,231.57
7/1/2003,235
8/1/2003,228.64
9/1/2003,224.35
10/1/2003,225.78
11/1/2003,226.19
12/1/2003,217.13
1/1/2004,216.62
2/1/2004,216.08
3/1/2004,219.02
4/1/2004,226.71
5/1/2004,227.35
6/1/2004,224.06
7/1/2004,221.97
8/1/2004,217.8
9/1/2004,216.36
10/1/2004,215.94
11/1/2004,212.55
12/1/2004,208.88
1/1/2005,212.01
2/1/2005,213.45
3/1/2005,217.88
4/1/2005,216.12
5/1/2005,214.91
6/1/2005,218.59
7/1/2005,220.74
8/1/2005,218.43
9/1/2005,215.89
10/1/2005,212.99
11/1/2005,212.76
12/1/2005,213.99
1/1/2006,210.08
2/1/2006,207.24
3/1/2006,208.32
4/1/2006,208.14
5/1/2006,208.92
6/1/2006,212.33
7/1/2006,210.74
8/1/2006,209.98
9/1/2006,210.91
10/1/2006,212.27
11/1/2006,214.07
12/1/2006,214.34
1/1/2007,215.39
2/1/2007,211.87
3/1/2007,211.82
4/1/2007,210.14
5/1/2007,208.49
6/1/2007,207.59
7/1/2007,202.44
8/1/2007,203.83
9/1/2007,201.99
10/1/2007,196.22
11/1/2007,195.2
12/1/2007,196.73
1/1/2008,195.97
2/1/2008,192.16
3/1/2008,189.71
4/1/2008,188.43
5/1/2008,188.87
6/1/2008,193.79
7/1/2008,193.47
8/1/2008,197.05
9/1/2008,204.93
10/1/2008,216.83
11/1/2008,218.11
12/1/2008,215.28
1/1/2009,211.31
2/1/2009,211.61
3/1/2009,203.8
4/1/2009,196.48
5/1/2009,187.99
6/1/2009,181.31
7/1/2009,179.45
8/1/2009,175.32
9/1/2009,174.35
10/1/2009,172.22
11/1/2009,172.8
12/1/2009,175.52
1/1/2010,178.38
2/1/2010,181.54
3/1/2010,180.1
4/1/2010,179.26
5/1/2010,184.16
6/1/2010,185.42
7/1/2010,182.91
8/1/2010,182.43
9/1/2010,179.91
10/1/2010,175.79
11/1/2010,177.39
12/1/2010,177.99
1/1/2011,176.79
2/1/2011,173.92
3/1/2011,172.26
4/1/2011,167.36
5/1/2011,168.19
6/1/2011,167.84
7/1/2011,166.99
8/1/2011,167.06
9/1/2011,173.74
10/1/2011,175.83
11/1/2011,175.57
12/1/2011,178.05
1/1/2012,176.22
2/1/2012,171.64
3/1/2012,174.95
4/1/2012,176.39
5/1/2012,181.47
6/1/2012,185.24
7/1/2012,183.02
8/1/2012,180.83
9/1/2012,177.24
10/1/2012,175.56
11/1/2012,175.89
12/1/2012,173.3
1/1/2013,170.62
2/1/2013,166.94
3/1/2013,166.5
4/1/2013,165.35
5/1/2013,164.88
6/1/2013,166.98
7/1/2013,167.68
8/1/2013,166.23
9/1/2013,160.61
10/1/2013,155.59
11/1/2013,155.51
12/1/2013,150.27
1/1/2014,140.31
2/1/2014,129.59
3/1/2014,130.38
4/1/2014,129.47
5/1/2014,130.24
6/1/2014,130.8
7/1/2014,131.94
8/1/2014,132.4
9/1/2014,134.18
10/1/2014,137.34
11/1/2014,140.93
12/1/2014,144.44
1/1/2015,146.92
2/1/2015,149.46
3/1/2015,155.16
4/1/2015,153.1
5/1/2015,151.91
6/1/2015,152.52
7/1/2015,155.29
8/1/2015,160.24
9/1/2015,164.78
10/1/2015,163.71
11/1/2015,164.73
12/1/2015,149.19
1/1/2016,129.12
2/1/2016,120.46
3/1/2016,118.02
4/1/2016,124.21
5/1/2016,131.96
6/1/2016,135.3
7/1/2016,129.49
8/1/2016,128.57
9/1/2016,128.27
10/1/2016,130.26
11/1/2016,134.32
12/1/2016,132.51
1/1/2017,131.54
2/1/2017,134.95
3/1/2017,138.75
4/1/2017,143.38
5/1/2017,142.04
6/1/2017,140.56
7/1/2017,132.48
8/1/2017,129.86
9/1/2017,132.51
10/1/2017,134.18
11/1/2017,135.86
12/1/2017,139.34
1/1/2018,128.09
2/1/2018,124.63
3/1/2018,125.6
4/1/2018,130.18
5/1/2018,117.66
6/1/2018,110.23
7/1/2018,109.66
8/1/2018,107.35
9/1/2018,89.6
10/1/2018,94.83
11/1/2018,100.71
12/1/2018,100.06
1/1/2019,102.32
