DATE,Total Reserves ex. Gold
1/1/1957,217500000
2/1/1957,222500000
3/1/1957,243500000
4/1/1957,277000000
5/1/1957,280000000
6/1/1957,242000000
7/1/1957,238000000
8/1/1957,225000000
9/1/1957,206000000
10/1/1957,187000000
11/1/1957,168000000
12/1/1957,160000000
1/1/1958,50000000
2/1/1958,95000000
3/1/1958,85000000
4/1/1958,50000000
5/1/1958,34000000
6/1/1958,27000000
7/1/1958,45000000
8/1/1958,35000000
9/1/1958,31000000
10/1/1958,27000000
11/1/1958,30000000
12/1/1958,38000000
1/1/1959,41000000
2/1/1959,59000000
3/1/1959,48000000
4/1/1959,39000000
5/1/1959,61000000
6/1/1959,44000000
7/1/1959,56000000
8/1/1959,88000000
9/1/1959,126000000
10/1/1959,162000000
11/1/1959,186000000
12/1/1959,220000000
1/1/1960,257000000
2/1/1960,301000000
3/1/1960,341000000
4/1/1960,353000000
5/1/1960,390000000
6/1/1960,400000000
7/1/1960,424000000
8/1/1960,428000000
9/1/1960,452000000
10/1/1960,428000000
11/1/1960,435000000
12/1/1960,422000000
1/1/1961,402000000
2/1/1961,414000000
3/1/1961,401000000
4/1/1961,372000000
5/1/1961,350000000
6/1/1961,313000000
7/1/1961,302000000
8/1/1961,306000000
9/1/1961,287000000
10/1/1961,242000000
11/1/1961,208000000
12/1/1961,196000000
1/1/1962,134000000
2/1/1962,117000000
3/1/1962,125000000
4/1/1962,64000000
5/1/1962,63000000
6/1/1962,88000000
7/1/1962,92000000
8/1/1962,79000000
9/1/1962,97000000
10/1/1962,53000000
11/1/1962,59000000
12/1/1962,54000000
1/1/1963,51000000
2/1/1963,71000000
3/1/1963,87000000
4/1/1963,122000000
5/1/1963,126000000
6/1/1963,123000000
7/1/1963,176000000
8/1/1963,205000000
9/1/1963,221000000
10/1/1963,195000000
11/1/1963,167000000
12/1/1963,192000000
1/1/1964,197000000
2/1/1964,203000000
3/1/1964,200000000
4/1/1964,219000000
5/1/1964,247000000
6/1/1964,170000000
7/1/1964,163000000
8/1/1964,118000000
9/1/1964,125000000
10/1/1964,113000000
11/1/1964,98000000
12/1/1964,82000000
1/1/1965,55000000
2/1/1965,44000000
3/1/1965,42000000
4/1/1965,53000000
5/1/1965,85000000
6/1/1965,49000000
7/1/1965,62000000
8/1/1965,94000000
9/1/1965,131000000
10/1/1965,144000000
11/1/1965,133000000
12/1/1965,170000000
1/1/1966,189000000
2/1/1966,194000000
3/1/1966,215000000
4/1/1966,228000000
5/1/1966,254000000
6/1/1966,220000000
7/1/1966,199000000
8/1/1966,216000000
9/1/1966,186000000
10/1/1966,146000000
11/1/1966,134000000
12/1/1966,132000000
1/1/1967,132000000
2/1/1967,116000000
3/1/1967,172000000
4/1/1967,248000000
5/1/1967,357000000
6/1/1967,586000000
7/1/1967,616000000
8/1/1967,613000000
9/1/1967,616010000
10/1/1967,596010000
11/1/1967,603010000
12/1/1967,643010000
1/1/1968,601010000
2/1/1968,582010000
3/1/1968,604510000
4/1/1968,617520000
5/1/1968,635520000
6/1/1968,636520000
7/1/1968,638580000
8/1/1968,616150000
9/1/1968,624150000
10/1/1968,631650000
11/1/1968,652650000
12/1/1968,650650000
1/1/1969,677640000
2/1/1969,697650000
3/1/1969,705650000
4/1/1969,754650000
5/1/1969,697660000
6/1/1969,611660000
7/1/1969,671660000
8/1/1969,633670000
9/1/1969,560670000
10/1/1969,493780000
11/1/1969,447780000
12/1/1969,402790000
1/1/1970,423590000
2/1/1970,422590000
3/1/1970,468590000
4/1/1970,495570000
5/1/1970,540910000
6/1/1970,566910000
7/1/1970,638910000
8/1/1970,631860000
9/1/1970,565860000
10/1/1970,604070000
11/1/1970,545070000
12/1/1970,532570000
1/1/1971,531650000
2/1/1971,513650000
3/1/1971,469650000
4/1/1971,442640000
5/1/1971,432930000
6/1/1971,381930000
7/1/1971,375930000
8/1/1971,358930000
9/1/1971,318930000
10/1/1971,235020000
11/1/1971,185780000
12/1/1971,177253499.9
1/1/1972,147841000
2/1/1972,122393650
3/1/1972,185757449.8
4/1/1972,138664949.9
5/1/1972,89899299.93
6/1/1972,102901949.9
7/1/1972,84480949.96
8/1/1972,74554049.94
9/1/1972,94817149.92
10/1/1972,83764549.93
11/1/1972,156858549.8
12/1/1972,288568699.7
1/1/1973,390332199.6
2/1/1973,405715849.6
3/1/1973,394898449.6
4/1/1973,455289699.5
5/1/1973,510070399.4
6/1/1973,537425749.4
7/1/1973,681754099.2
8/1/1973,779529149.1
9/1/1973,879054199
10/1/1973,866619949
11/1/1973,854165699
12/1/1973,952218598.9
1/1/1974,949758048.9
2/1/1974,992863448.9
3/1/1974,1070593699
4/1/1974,1168989799
5/1/1974,1321215548
6/1/1974,1396676298
7/1/1974,1378777038
8/1/1974,1233002899
9/1/1974,1139871169
10/1/1974,1071849039
11/1/1974,964997999
12/1/1974,934639279
1/1/1975,812584129.1
2/1/1975,699151369.2
3/1/1975,596346019.4
4/1/1975,469186159.5
5/1/1975,341516799.6
6/1/1975,332046319.6
7/1/1975,301811479.6
8/1/1975,216287299.7
9/1/1975,153487069.8
10/1/1975,215665819.7
11/1/1975,240188799.7
12/1/1975,245832339.8
1/1/1976,199065739.8
2/1/1976,135751389.8
3/1/1976,223971619.8
4/1/1976,251410559.8
5/1/1976,462224419.5
6/1/1976,534133669.5
7/1/1976,594419119.4
8/1/1976,693270499.3
9/1/1976,663396559.3
10/1/1976,635142699.4
11/1/1976,560076199.5
12/1/1976,1243601339
1/1/1977,1196807089
2/1/1977,1281470639
3/1/1977,1327823949
4/1/1977,1421265528
5/1/1977,1560202058
6/1/1977,1584334368
7/1/1977,1764066198
8/1/1977,1975150078
9/1/1977,2177845348
10/1/1977,2388602777
11/1/1977,2432396197
12/1/1977,2596327357
1/1/1978,3059205196
2/1/1978,3348055566
3/1/1978,3406557516
4/1/1978,3576932396
5/1/1978,4068018865
6/1/1978,3865487955
7/1/1978,4077113155
8/1/1978,4160537295
9/1/1978,4171712595
10/1/1978,3813047495
11/1/1978,3732920336
12/1/1978,3812181875
1/1/1979,4088861545
2/1/1979,4240956995
3/1/1979,4562750645
4/1/1979,4986597294
5/1/1979,5397521504
6/1/1979,5827220613
7/1/1979,6003722613
8/1/1979,6201095192
9/1/1979,6625191052
10/1/1979,7136205241
11/1/1979,7179954491
12/1/1979,7126556371
1/1/1980,7349192001
2/1/1980,7462830991
3/1/1980,7587561831
4/1/1980,6977255342
5/1/1980,6305072192
6/1/1980,6147426843
7/1/1980,6966018792
8/1/1980,7190883581
9/1/1980,6434272452
10/1/1980,6049101753
11/1/1980,5504660334
12/1/1980,5268461414
1/1/1981,4579066245
2/1/1981,3709890096
3/1/1981,3057385707
4/1/1981,4340684076
5/1/1981,3511110257
6/1/1981,3318199847
7/1/1981,3259139907
8/1/1981,3311718557
9/1/1981,3334111137
10/1/1981,3016806637
11/1/1981,2811998317
12/1/1981,2807976037
1/1/1982,2956775197
2/1/1982,3091827197
3/1/1982,2900131997
4/1/1982,2483860238
5/1/1982,2708841998
6/1/1982,2689775098
7/1/1982,2885111598
8/1/1982,2474864798
9/1/1982,2777436737
10/1/1982,2892638117
11/1/1982,2723953017
12/1/1982,2272121178
1/1/1983,3050822117
2/1/1983,3540650916
3/1/1983,3120325517
4/1/1983,2905464367
5/1/1983,2621667517
6/1/1983,2974047377
7/1/1983,2966898997
8/1/1983,2585697297
9/1/1983,2223646998
10/1/1983,2245758238
11/1/1983,2335252578
12/1/1983,1119775799
1/1/1984,1521013528
2/1/1984,1508364718
3/1/1984,1383254239
4/1/1984,1640624998
5/1/1984,1875518248
6/1/1984,1687480200
7/1/1984,1181491900
8/1/1984,1330421280
9/1/1984,1353892000
10/1/1984,1493727699
11/1/1984,1254995570
12/1/1984,1267705979
1/1/1985,1224846149
2/1/1985,896728000
3/1/1985,820504399.2
4/1/1985,963449570
5/1/1985,1232013300
6/1/1985,1716276360
7/1/1985,1933804480
8/1/1985,1850899440
9/1/1985,2756041670
10/1/1985,2850679080
11/1/1985,3035443680
12/1/1985,2979739200
1/1/1986,2864925590
2/1/1986,2546825310
3/1/1986,2373368930
4/1/1986,2834808410
5/1/1986,3037362700
6/1/1986,3565555180
7/1/1986,3342435728
8/1/1986,3207710280
9/1/1986,3111352400
10/1/1986,2948782180
11/1/1986,2443191680
12/1/1986,2222046540
1/1/1987,1987034200
2/1/1987,1717570340
3/1/1987,2018009700
4/1/1987,1530622300
5/1/1987,1459268250
6/1/1987,1166290480
7/1/1987,1199083700
8/1/1987,1079974720
9/1/1987,805334100
10/1/1987,1090282050
11/1/1987,1230167900
12/1/1987,1139807130
1/1/1988,1023844160
2/1/1988,930193500
3/1/1988,1057947610
4/1/1988,1110420950
5/1/1988,1091126580
6/1/1988,1417477000
7/1/1988,1465404440
8/1/1988,2128640890
9/1/1988,2355933440
10/1/1988,2147468310
11/1/1988,2182044470
12/1/1988,2499418930
1/1/1989,2447753240
2/1/1989,1668180720
3/1/1989,1245766990
4/1/1989,998986710
5/1/1989,1183635200
6/1/1989,750971520
7/1/1989,1283885100
8/1/1989,1563546270
9/1/1989,1771365790
10/1/1989,1832237860
11/1/1989,1452415900
12/1/1989,1113485220
1/1/1990,999899700
2/1/1990,745852390
3/1/1990,934102880
