DATE,Exports Value (Goods)
1/1/2006,3188000000
2/1/2006,3090000000
3/1/2006,3648000000
4/1/2006,3925000000
5/1/2006,4181000000
6/1/2006,3848000000
7/1/2006,3817000000
8/1/2006,4246000000
9/1/2006,4048000000
10/1/2006,4204000000
11/1/2006,4110000000
12/1/2006,4241000000
1/1/2007,3390000000
2/1/2007,3587000000
3/1/2007,4173000000
4/1/2007,4299000000
5/1/2007,4856000000
6/1/2007,4521000000
7/1/2007,4614000000
8/1/2007,4922000000
9/1/2007,4828000000
10/1/2007,5581000000
11/1/2007,5424000000
12/1/2007,5787000000
1/1/2008,5818000000
2/1/2008,5226000000
3/1/2008,4991000000
4/1/2008,5846000000
5/1/2008,6240000000
6/1/2008,5407000000
7/1/2008,7011000000
8/1/2008,7367000000
9/1/2008,6919000000
10/1/2008,6061000000
11/1/2008,4903000000
12/1/2008,4231000000
1/1/2009,3715000000
2/1/2009,3945000000
3/1/2009,4264000000
4/1/2009,5052000000
5/1/2009,5203000000
6/1/2009,5211000000
7/1/2009,4925000000
8/1/2009,4352000000
9/1/2009,4531000000
10/1/2009,4808000000
11/1/2009,4872000000
12/1/2009,4794000000
1/1/2010,4408000000
2/1/2010,3959000000
3/1/2010,4687000000
4/1/2010,6208000000
5/1/2010,6503000000
6/1/2010,6369000000
7/1/2010,5984000000
8/1/2010,6383000000
9/1/2010,6375000000
10/1/2010,5899000000
11/1/2010,5915000000
12/1/2010,5484000000
1/1/2011,5185000000
2/1/2011,5398000000
3/1/2011,6098000000
4/1/2011,7043000000
5/1/2011,7933000000
6/1/2011,7817000000
7/1/2011,7226000000
8/1/2011,8328000000
9/1/2011,7718000000
10/1/2011,7435000000
11/1/2011,6493000000
12/1/2011,6306000000
1/1/2012,5399000000
2/1/2012,6005000000
3/1/2012,6200000000
4/1/2012,6715000000
5/1/2012,7081000000
6/1/2012,6822000000
7/1/2012,7655000000
8/1/2012,7451000000
9/1/2012,6803000000
10/1/2012,6889000000
11/1/2012,6649000000
12/1/2012,6313000000
1/1/2013,5383000000
2/1/2013,4906000000
3/1/2013,6160000000
4/1/2013,6895000000
5/1/2013,8393000000
6/1/2013,7483000000
7/1/2013,6931000000
8/1/2013,7200000000
9/1/2013,6545000000
10/1/2013,6027000000
11/1/2013,5090000000
12/1/2013,4951000000
1/1/2014,4275000000
2/1/2014,4648000000
3/1/2014,4913000000
4/1/2014,6479000000
5/1/2014,7179000000
6/1/2014,7204000000
7/1/2014,6417000000
8/1/2014,6420000000
9/1/2014,5685000000
10/1/2014,5794000000
11/1/2014,4889000000
12/1/2014,4502000000
1/1/2015,3796000000
2/1/2015,3872000000
3/1/2015,4381000000
4/1/2015,5155000000
5/1/2015,5206000000
6/1/2015,6046000000
7/1/2015,5569000000
8/1/2015,5136000000
9/1/2015,5162000000
10/1/2015,5033000000
11/1/2015,3999000000
12/1/2015,3429000000
1/1/2016,3881000000
2/1/2016,4141000000
3/1/2016,4421000000
4/1/2016,4740000000
5/1/2016,5383000000
6/1/2016,5305000000
7/1/2016,5002000000
8/1/2016,5764000000
9/1/2016,5050000000
10/1/2016,4737000000
11/1/2016,4837000000
12/1/2016,4649000000
1/1/2017,4291000000
2/1/2017,3899000000
3/1/2017,4565000000
4/1/2017,4867000000
5/1/2017,5493000000
6/1/2017,5158000000
7/1/2017,5304000000
8/1/2017,5272000000
9/1/2017,5268000000
10/1/2017,5281000000
11/1/2017,4668000000
12/1/2017,4578000000
1/1/2018,4810000000
2/1/2018,4304000000
3/1/2018,5417000000
4/1/2018,5216000000
5/1/2018,5163000000
6/1/2018,5133000000
7/1/2018,5415000000
8/1/2018,5202000000
9/1/2018,5037000000
10/1/2018,5398000000
11/1/2018,5350000000
12/1/2018,5336000000
1/1/2019,4585000000
2/1/2019,4448000000
3/1/2019,5137000000
4/1/2019,5337000000
5/1/2019,6044000000
6/1/2019,5239000000
7/1/2019,5856000000
8/1/2019,5568000000
9/1/2019,5746000000
10/1/2019,5889000000
11/1/2019,5893000000
12/1/2019,5374000000
1/1/2020,4579000000
2/1/2020,4378000000
3/1/2020,4383000000
4/1/2020,4349000000
5/1/2020,5078000000
6/1/2020,4786000000
7/1/2020,4931000000
8/1/2020,4955000000
9/1/2020,4727000000
10/1/2020,4674000000
11/1/2020,4500000000
12/1/2020,3544000000
1/1/2021,4912000000
2/1/2021,4775000000
3/1/2021,5720000000
4/1/2021,6143000000
5/1/2021,6813000000
6/1/2021,7010000000
7/1/2021,7252000000
8/1/2021,8099000000
9/1/2021,7570000000
10/1/2021,6863000000
11/1/2021,6191000000
12/1/2021,6587000000
1/1/2022,5548000000
2/1/2022,6452000000
3/1/2022,7354000000
4/1/2022,8337000000
5/1/2022,8254000000
6/1/2022,8433000000
7/1/2022,7805000000
8/1/2022,7537000000
